"data","n","p","lambda0","non_zeros","med_abs","max_abs","acc","sens","spec","sec"
"simulate_0_1_9_0.1_1_data.csv",1000,11,0,2,0,10,0.844,0.832310838445808,0.85518590998043,0.160249948501587
"simulate_0_1_9_0.1_10_data.csv",1000,11,0,2,0,10,0.765,0.77079107505071,0.759368836291913,0.0578949451446533
"simulate_0_1_9_0.1_2_data.csv",1000,11,0,3,0,10,0.801,0.816955684007707,0.783783783783784,0.0576190948486328
"simulate_0_1_9_0.1_3_data.csv",1000,11,0,3,0,10,0.827,0.815950920245399,0.837573385518591,0.155575037002563
"simulate_0_1_9_0.1_4_data.csv",1000,11,0,1,0,10,0.836,0.838056680161943,0.83399209486166,0.0634839534759521
"simulate_0_1_9_0.1_5_data.csv",1000,11,0,2,0,10,0.799,0.796812749003984,0.801204819277108,0.0533661842346191
"simulate_0_1_9_0.1_6_data.csv",1000,11,0,4,0,10,0.732,0.700623700623701,0.761078998073218,0.0474159717559814
"simulate_0_1_9_0.1_7_data.csv",1000,11,0,5,0.5,10,0.771,0.773279352226721,0.768774703557312,0.0584659576416016
"simulate_0_1_9_0.1_8_data.csv",1000,11,0,1,0,10,0.832,0.818371607515658,0.844529750479846,0.0574038028717041
"simulate_0_1_9_0.1_9_data.csv",1000,11,0,6,1,10,0.761,0.768031189083821,0.753593429158111,0.0553348064422607
"simulate_0_1_9_0.5_1_data.csv",1000,11,0,1,0,10,0.811,0.79492600422833,0.825426944971537,0.055933952331543
"simulate_0_1_9_0.5_10_data.csv",1000,11,0,2,0,10,0.795,0.799607072691552,0.790224032586558,0.0619099140167236
"simulate_0_1_9_0.5_2_data.csv",1000,11,0,2,0,10,0.799,0.773019271948608,0.821763602251407,0.0541610717773438
"simulate_0_1_9_0.5_3_data.csv",1000,11,0,4,0,10,0.77,0.785571142284569,0.754491017964072,0.0610060691833496
"simulate_0_1_9_0.5_4_data.csv",1000,11,0,3,0,10,0.803,0.800411522633745,0.805447470817121,0.0786919593811035
"simulate_0_1_9_0.5_5_data.csv",1000,11,0,2,0,10,0.835,0.828402366863905,0.841784989858012,0.0653550624847412
"simulate_0_1_9_0.5_6_data.csv",1000,11,0,5,0.5,10,0.796,0.796,0.796,0.0837690830230713
"simulate_0_1_9_0.5_7_data.csv",1000,11,0,6,1,10,0.706,0.679012345679012,0.731517509727626,0.0501718521118164
"simulate_0_1_9_0.5_8_data.csv",1000,11,0,5,0.5,10,0.796,0.803571428571429,0.788306451612903,0.0650689601898193
"simulate_0_1_9_0.5_9_data.csv",1000,11,0,2,0,10,0.819,0.790149892933619,0.844277673545966,0.0558500289916992
"simulate_0_1_9_0.9_1_data.csv",1000,11,0,8,1,10,0.813,0.816443594646271,0.809224318658281,0.065241813659668
"simulate_0_1_9_0.9_10_data.csv",1000,11,0,8,1,10,0.795,0.794411177644711,0.79559118236473,0.0551331043243408
"simulate_0_1_9_0.9_2_data.csv",1000,11,0,9,1,10,0.694,0.675456389452333,0.712031558185404,0.0615088939666748
"simulate_0_1_9_0.9_3_data.csv",1000,11,0,9,1,10,0.811,0.833333333333333,0.786016949152542,0.101361989974976
"simulate_0_1_9_0.9_4_data.csv",1000,11,0,4,0,10,0.831,0.820618556701031,0.840776699029126,0.0699570178985596
"simulate_0_1_9_0.9_5_data.csv",1000,11,0,7,1,10,0.783,0.780040733197556,0.785854616895874,0.0569918155670166
"simulate_0_1_9_0.9_6_data.csv",1000,11,0,10,2,10,0.738,0.74901185770751,0.726720647773279,0.0544469356536865
"simulate_0_1_9_0.9_7_data.csv",1000,11,0,7,1,10,0.744,0.757936507936508,0.729838709677419,0.0752968788146973
"simulate_0_1_9_0.9_8_data.csv",1000,11,0,6,1,10,0.845,0.847695390781563,0.842315369261477,0.0669760704040527
"simulate_0_1_9_0.9_9_data.csv",1000,11,0,6,1,10,0.83,0.848076923076923,0.810416666666667,0.100749969482422
"simulate_0_10_90_0.1_1_data.csv",1000,101,0,66,1,10,0.906,0.909270216962525,0.9026369168357,2.24456715583801
"simulate_0_10_90_0.1_10_data.csv",1000,101,0,60,1,10,0.899,0.901840490797546,0.896281800391389,3.06711006164551
"simulate_0_10_90_0.1_2_data.csv",1000,101,0,54,1,10,0.884,0.881002087682672,0.886756238003839,2.08873391151428
"simulate_0_10_90_0.1_3_data.csv",1000,101,0,45,0,10,0.879,0.875,0.883064516129032,2.47251009941101
"simulate_0_10_90_0.1_4_data.csv",1000,101,0,54,1,10,0.9,0.90138067061144,0.898580121703854,2.57542085647583
"simulate_0_10_90_0.1_5_data.csv",1000,101,0,58,1,10,0.87,0.859504132231405,0.87984496124031,0.913981914520264
"simulate_0_10_90_0.1_6_data.csv",1000,101,0,58,1,10,0.882,0.873684210526316,0.88952380952381,1.86414694786072
"simulate_0_10_90_0.1_7_data.csv",1000,101,0,58,1,10,0.869,0.863095238095238,0.875,2.4482729434967
"simulate_0_10_90_0.1_8_data.csv",1000,101,0,55,1,10,0.874,0.883196721311475,0.865234375,2.95841884613037
"simulate_0_10_90_0.1_9_data.csv",1000,101,0,51,1,10,0.875,0.877755511022044,0.872255489021956,2.11404609680176
"simulate_0_10_90_0.5_1_data.csv",1000,101,0,71,1,10,0.895,0.89083820662768,0.899383983572895,2.41610312461853
"simulate_0_10_90_0.5_10_data.csv",1000,101,0,71,1,10,0.896,0.892,0.9,1.73270702362061
"simulate_0_10_90_0.5_2_data.csv",1000,101,0,64,1,10,0.902,0.905697445972495,0.89816700610998,1.98422193527222
"simulate_0_10_90_0.5_3_data.csv",1000,101,0,81,1,10,0.894,0.886409736308316,0.90138067061144,2.06184792518616
"simulate_0_10_90_0.5_4_data.csv",1000,101,0,72,1,10,0.867,0.870517928286853,0.863453815261044,2.51835203170776
"simulate_0_10_90_0.5_5_data.csv",1000,101,0,79,1,10,0.891,0.890269151138716,0.891682785299807,1.73336791992188
"simulate_0_10_90_0.5_6_data.csv",1000,101,0,82,1,10,0.874,0.876767676767677,0.871287128712871,1.72960305213928
"simulate_0_10_90_0.5_7_data.csv",1000,101,0,76,1,10,0.895,0.898635477582846,0.891170431211499,1.81017708778381
"simulate_0_10_90_0.5_8_data.csv",1000,101,0,75,1,10,0.883,0.893854748603352,0.870410367170626,2.54942512512207
"simulate_0_10_90_0.5_9_data.csv",1000,101,0,77,1,10,0.88,0.895038167938931,0.86344537815126,1.94174003601074
"simulate_0_10_90_0.9_1_data.csv",1000,101,0,92,3,10,0.884,0.879446640316206,0.888663967611336,4.62064409255981
"simulate_0_10_90_0.9_10_data.csv",1000,101,0,92,3,10,0.911,0.899383983572895,0.922027290448343,2.50659990310669
"simulate_0_10_90_0.9_2_data.csv",1000,101,0,90,2,10,0.881,0.877755511022044,0.884231536926148,3.39260101318359
"simulate_0_10_90_0.9_3_data.csv",1000,101,0,90,3,10,0.892,0.904580152671756,0.878151260504202,3.38703989982605
"simulate_0_10_90_0.9_4_data.csv",1000,101,0,92,3,10,0.882,0.879142300194932,0.885010266940452,2.92841005325317
"simulate_0_10_90_0.9_5_data.csv",1000,101,0,92,4,10,0.905,0.916349809885932,0.892405063291139,2.96720719337463
"simulate_0_10_90_0.9_6_data.csv",1000,101,0,90,2,10,0.917,0.921104536489152,0.912778904665314,2.71547508239746
"simulate_0_10_90_0.9_7_data.csv",1000,101,0,90,2,10,0.896,0.898809523809524,0.893145161290323,3.47100305557251
"simulate_0_10_90_0.9_8_data.csv",1000,101,0,88,3,10,0.882,0.880566801619433,0.883399209486166,4.04217886924744
"simulate_0_10_90_0.9_9_data.csv",1000,101,0,89,2,10,0.906,0.904854368932039,0.907216494845361,3.2634060382843
"simulate_0_25_25_0.1_1_data.csv",1000,51,0,41,2,10,0.865,0.867704280155642,0.862139917695473,0.834680080413818
"simulate_0_25_25_0.1_10_data.csv",1000,51,0,41,2,10,0.871,0.87426326129666,0.867617107942974,1.2639319896698
"simulate_0_25_25_0.1_2_data.csv",1000,51,0,43,2,10,0.862,0.871401151631478,0.851774530271399,0.655222177505493
"simulate_0_25_25_0.1_3_data.csv",1000,51,0,43,2,10,0.876,0.880157170923379,0.871690427698574,0.71431303024292
"simulate_0_25_25_0.1_4_data.csv",1000,51,0,39,2,10,0.867,0.869649805447471,0.864197530864197,0.541409015655518
"simulate_0_25_25_0.1_5_data.csv",1000,51,0,35,2,10,0.877,0.881763527054108,0.872255489021956,0.795929908752441
"simulate_0_25_25_0.1_6_data.csv",1000,51,0,36,1.5,10,0.879,0.86764705882353,0.889312977099237,0.857418060302734
"simulate_0_25_25_0.1_7_data.csv",1000,51,0,41,2.5,10,0.88,0.873706004140787,0.885880077369439,0.804842948913574
"simulate_0_25_25_0.1_8_data.csv",1000,51,0,37,2,10,0.863,0.857142857142857,0.868951612903226,1.13492012023926
"simulate_0_25_25_0.1_9_data.csv",1000,51,0,38,2,10,0.877,0.882,0.872,0.548923015594482
"simulate_0_25_25_0.5_1_data.csv",1000,51,0,45,2,10,0.851,0.833679833679834,0.867052023121387,0.937915086746216
"simulate_0_25_25_0.5_10_data.csv",1000,51,0,40,2,10,0.885,0.883299798792757,0.886679920477137,0.700690031051636
"simulate_0_25_25_0.5_2_data.csv",1000,51,0,42,2,10,0.86,0.846311475409836,0.873046875,0.845249891281128
"simulate_0_25_25_0.5_3_data.csv",1000,51,0,45,2,10,0.891,0.908382066276803,0.872689938398357,1.13591003417969
"simulate_0_25_25_0.5_4_data.csv",1000,51,0,47,3,10,0.869,0.870103092783505,0.867961165048544,0.995070219039917
"simulate_0_25_25_0.5_5_data.csv",1000,51,0,44,2.5,10,0.864,0.8714859437751,0.856573705179283,1.02717709541321
"simulate_0_25_25_0.5_6_data.csv",1000,51,0,41,2.5,10,0.867,0.86344537815126,0.870229007633588,1.02437090873718
"simulate_0_25_25_0.5_7_data.csv",1000,51,0,49,3,10,0.889,0.871244635193133,0.904494382022472,0.700571060180664
"simulate_0_25_25_0.5_8_data.csv",1000,51,0,41,2,10,0.877,0.867494824016563,0.885880077369439,0.699802875518799
"simulate_0_25_25_0.5_9_data.csv",1000,51,0,42,2,10,0.883,0.879759519038076,0.88622754491018,0.88647985458374
"simulate_0_25_25_0.9_1_data.csv",1000,51,0,45,3,10,0.857,0.860420650095602,0.853249475890985,1.28890705108643
"simulate_0_25_25_0.9_10_data.csv",1000,51,0,47,3,10,0.875,0.867368421052632,0.881904761904762,1.79245090484619
"simulate_0_25_25_0.9_2_data.csv",1000,51,0,45,3,10,0.896,0.915441176470588,0.87280701754386,1.22647905349731
"simulate_0_25_25_0.9_3_data.csv",1000,51,0,45,3,10,0.883,0.881048387096774,0.884920634920635,1.53181505203247
"simulate_0_25_25_0.9_4_data.csv",1000,51,0,45,3.5,10,0.886,0.886831275720165,0.885214007782101,2.10947704315186
"simulate_0_25_25_0.9_5_data.csv",1000,51,0,47,4,10,0.884,0.88560157790927,0.88235294117647,1.3496789932251
"simulate_0_25_25_0.9_6_data.csv",1000,51,0,45,3,10,0.877,0.875968992248062,0.878099173553719,1.05040907859802
"simulate_0_25_25_0.9_7_data.csv",1000,51,0,45,2,10,0.885,0.87603305785124,0.893410852713178,1.92963409423828
"simulate_0_25_25_0.9_8_data.csv",1000,51,0,44,2,10,0.877,0.879142300194932,0.874743326488706,1.73126101493835
"simulate_0_25_25_0.9_9_data.csv",1000,51,0,43,2,10,0.865,0.85655737704918,0.873046875,0.517732858657837
"simulate_0_45_5_0.1_1_data.csv",1000,51,0,49,5,10,0.858,0.859922178988327,0.8559670781893,0.668641090393066
"simulate_0_45_5_0.1_10_data.csv",1000,51,0,47,5,10,0.88,0.877952755905512,0.882113821138211,0.717483997344971
"simulate_0_45_5_0.1_2_data.csv",1000,51,0,46,6,10,0.865,0.866,0.864,0.781327962875366
"simulate_0_45_5_0.1_3_data.csv",1000,51,0,47,6,10,0.877,0.893536121673004,0.858649789029536,0.78814697265625
"simulate_0_45_5_0.1_4_data.csv",1000,51,0,48,5,10,0.847,0.849315068493151,0.844580777096115,0.799659013748169
"simulate_0_45_5_0.1_5_data.csv",1000,51,0,47,5.5,10,0.851,0.861386138613861,0.84040404040404,0.511294841766357
"simulate_0_45_5_0.1_6_data.csv",1000,51,0,47,5,10,0.873,0.876984126984127,0.868951612903226,1.25045108795166
"simulate_0_45_5_0.1_7_data.csv",1000,51,0,48,5,10,0.864,0.873267326732673,0.854545454545454,1.05547404289246
"simulate_0_45_5_0.1_8_data.csv",1000,51,0,49,6,10,0.862,0.861328125,0.862704918032787,0.753093004226685
"simulate_0_45_5_0.1_9_data.csv",1000,51,0,48,5,10,0.865,0.855445544554455,0.874747474747475,1.07344698905945
"simulate_0_45_5_0.5_1_data.csv",1000,51,0,46,5,10,0.845,0.838842975206612,0.85077519379845,0.806970119476318
"simulate_0_45_5_0.5_10_data.csv",1000,51,0,50,4,10,0.881,0.880715705765408,0.881287726358149,1.16428208351135
"simulate_0_45_5_0.5_2_data.csv",1000,51,0,46,5,10,0.875,0.868041237113402,0.881553398058252,0.857479095458984
"simulate_0_45_5_0.5_3_data.csv",1000,51,0,48,4,10,0.859,0.857142857142857,0.860995850622407,1.77499794960022
"simulate_0_45_5_0.5_4_data.csv",1000,51,0,47,5,10,0.859,0.867063492063492,0.850806451612903,0.829561948776245
"simulate_0_45_5_0.5_5_data.csv",1000,51,0,46,5,10,0.89,0.896414342629482,0.883534136546185,1.4391348361969
"simulate_0_45_5_0.5_6_data.csv",1000,51,0,47,4,10,0.875,0.865546218487395,0.883587786259542,0.90793514251709
"simulate_0_45_5_0.5_7_data.csv",1000,51,0,48,5,10,0.883,0.886454183266932,0.879518072289157,0.65372896194458
"simulate_0_45_5_0.5_8_data.csv",1000,51,0,47,3,10,0.878,0.858050847457627,0.895833333333333,1.1972930431366
"simulate_0_45_5_0.5_9_data.csv",1000,51,0,46,5,10,0.88,0.890384615384615,0.86875,0.566463947296143
"simulate_0_45_5_0.9_1_data.csv",1000,51,0,45,2,10,0.87,0.87246963562753,0.867588932806324,1.52201390266418
"simulate_0_45_5_0.9_10_data.csv",1000,51,0,49,4,10,0.892,0.882608695652174,0.9,1.19666194915771
"simulate_0_45_5_0.9_2_data.csv",1000,51,0,42,3,10,0.889,0.889108910891089,0.888888888888889,2.48655009269714
"simulate_0_45_5_0.9_3_data.csv",1000,51,0,44,2.5,10,0.869,0.854771784232365,0.882239382239382,1.01323390007019
"simulate_0_45_5_0.9_4_data.csv",1000,51,0,48,3,10,0.899,0.893004115226337,0.904669260700389,1.55723786354065
"simulate_0_45_5_0.9_5_data.csv",1000,51,0,48,3,10,0.887,0.88235294117647,0.891518737672584,1.95634198188782
"simulate_0_45_5_0.9_6_data.csv",1000,51,0,45,2,10,0.875,0.875739644970414,0.874239350912779,1.90448594093323
"simulate_0_45_5_0.9_7_data.csv",1000,51,0,45,3,10,0.863,0.875954198473282,0.848739495798319,1.15034103393555
"simulate_0_45_5_0.9_8_data.csv",1000,51,0,41,2,10,0.887,0.88622754491018,0.887775551102204,0.920211791992188
"simulate_0_45_5_0.9_9_data.csv",1000,51,0,43,3,10,0.881,0.877669902912621,0.884536082474227,0.920469999313354
"simulate_0_5_45_0.1_1_data.csv",1000,51,0,26,1,10,0.872,0.877016129032258,0.867063492063492,0.795156002044678
"simulate_0_5_45_0.1_10_data.csv",1000,51,0,26,1,10,0.868,0.878846153846154,0.85625,0.507035970687866
"simulate_0_5_45_0.1_2_data.csv",1000,51,0,20,0,10,0.864,0.852697095435685,0.874517374517375,0.671669006347656
"simulate_0_5_45_0.1_3_data.csv",1000,51,0,22,0,10,0.856,0.845381526104418,0.866533864541833,0.560500144958496
"simulate_0_5_45_0.1_4_data.csv",1000,51,0,19,0,10,0.877,0.859275053304904,0.892655367231638,0.803882122039795
"simulate_0_5_45_0.1_5_data.csv",1000,51,0,16,0,10,0.854,0.845995893223819,0.861598440545809,0.813400983810425
"simulate_0_5_45_0.1_6_data.csv",1000,51,0,24,0,10,0.848,0.856589147286822,0.838842975206612,0.776726007461548
"simulate_0_5_45_0.1_7_data.csv",1000,51,0,25,0.5,10,0.885,0.889943074003795,0.879492600422833,0.363816022872925
"simulate_0_5_45_0.1_8_data.csv",1000,51,0,19,0,10,0.848,0.841140529531568,0.854616895874263,0.358341932296753
"simulate_0_5_45_0.1_9_data.csv",1000,51,0,18,0,10,0.861,0.87189292543021,0.849056603773585,0.569054126739502
"simulate_0_5_45_0.5_1_data.csv",1000,51,0,32,1,10,0.886,0.885350318471338,0.886578449905482,0.577163934707642
"simulate_0_5_45_0.5_10_data.csv",1000,51,0,26,1,10,0.872,0.854077253218884,0.887640449438202,0.762037992477417
"simulate_0_5_45_0.5_2_data.csv",1000,51,0,37,1,10,0.877,0.889980353634578,0.863543788187373,1.11965394020081
"simulate_0_5_45_0.5_3_data.csv",1000,51,0,35,1,10,0.864,0.856850715746421,0.870841487279843,0.344744920730591
"simulate_0_5_45_0.5_4_data.csv",1000,51,0,32,1,10,0.883,0.88996138996139,0.87551867219917,0.681058168411255
"simulate_0_5_45_0.5_5_data.csv",1000,51,0,38,1,10,0.863,0.87279843444227,0.852760736196319,1.03219103813171
"simulate_0_5_45_0.5_6_data.csv",1000,51,0,39,1,10,0.872,0.870259481037924,0.87374749498998,0.616873979568481
"simulate_0_5_45_0.5_7_data.csv",1000,51,0,40,1,10,0.877,0.879142300194932,0.874743326488706,0.978679180145264
"simulate_0_5_45_0.5_8_data.csv",1000,51,0,29,1,10,0.863,0.853305785123967,0.872093023255814,0.642138957977295
"simulate_0_5_45_0.5_9_data.csv",1000,51,0,31,1,10,0.886,0.888246628131021,0.883575883575884,0.701602935791016
