filename, n, num_edges, time, obj, gap, removed 
DrugDataRem5Cap1Trial1-undir.dat,28,40,11.80331421,8,0,3
DrugDataRem5Cap1Trial2-undir.dat,28,40,13.30190778,8,0,3
DrugDataRem5Cap1Trial3-undir.dat,28,40,7.692708969,31,0,3
DrugDataRem5Cap2Trial1-undir.dat,28,40,40.07586789,5,0,0
DrugDataRem5Cap2Trial2-undir.dat,28,40,23.38448119,7,0,0
DrugDataRem5Cap2Trial3-undir.dat,28,40,16.01297903,31,0,0
ER25Rem5Cap5Trial1.dat,25,40,0.362545967,5.68E-14,0,3
ER25Rem5Cap5Trial2.dat,25,40,378.4199481,135,7.04E-07,5
ER25Rem5Cap5Trial3.dat,25,40,110.175936,149,0,3
ER36Rem6Cap6Trial1.dat,36,60,0.2893641,34,0,0
ER36Rem6Cap6Trial2.dat,36,60,7210.881383,787,1.160783175,6
ER36Rem6Cap6Trial3.dat,36,60,7213.220486,938,0.481926044,6
ER49Rem7Cap7Trial1.dat,49,84,7230.076876,287,18.97901328,0
ER49Rem7Cap7Trial2.dat,49,84,7228.403975,387,16.19010464,0
ER49Rem7Cap7Trial3.dat,49,84,7230.234133,969,6.145814319,0
ER64Rem8Cap8Trial1.dat,64,112,7273.611618,151,91.431011,0
ER64Rem8Cap8Trial2.dat,64,112,7268.136745,581,19.69806754,0
ER64Rem8Cap8Trial3.dat,64,112,7268.891552,602,18.84736701,0
