data, n, p, method, acc, sens, spec, auc, lambda0, non-zeros, med_abs, max_abs, time 
breastcancer_data.csv,683,9,FR,0.9532163742690059,0.8970588235294118,0.9902912621359223,0.9981439177612792,0,7,0.3693885254488941,0.6156475424148236,0.6241040229797363
breastcancer_data.csv,683,9,LR,0.9532163742690059,0.8970588235294118,0.9902912621359223,0.9985722444317533,0,9,0.371130385159318,0.5932076757736544,0.007353067398071289
breastcancer_data.csv,683,9,Round,0.6023391812865497,0.0,1.0,0.9458880639634495,0,1,0.0,1.0,0.007361173629760742
breastcancer_data.csv,683,9,NLLCD,0.9415204678362573,0.8676470588235294,0.9902912621359223,0.9980011422044546,0,8,1.0,5.0,0.07742524147033691
tbrisk_data.csv,1347,12,FR,0.7774480712166172,0.7485380116959064,0.8072289156626506,0.8357464947509335,0,10,0.5251573011793716,1.0503146023587433,0.7865679264068604
tbrisk_data.csv,1347,12,LR,0.771513353115727,0.7368421052631579,0.8072289156626506,0.835957866553935,0,12,0.31479235246537235,1.1166952759578257,0.0018010139465332031
tbrisk_data.csv,1347,12,Round,0.6231454005934718,0.935672514619883,0.30120481927710846,0.8114387374057633,0,4,0.0,1.0,0.0018122196197509766
tbrisk_data.csv,1347,12,NLLCD,0.7566765578635015,0.695906432748538,0.8192771084337349,0.8146269287677025,0,8,1.5,6.0,0.2571749687194824
spambase_data.csv,4601,57,FR,0.9122502172024327,0.8336842105263158,0.9674556213017751,0.9734148240423544,0,40,0.49685923190744447,4.968592319074444,477.04394483566284
spambase_data.csv,4601,57,LR,0.9278887923544744,0.88,0.9615384615384616,0.9737714107754594,0,57,0.5984129673804268,5.573420047476947,0.45244383811950684
spambase_data.csv,4601,57,Round,0.8757602085143353,0.7368421052631579,0.9733727810650887,0.9669152911865463,0,32,1.0,6.0,0.4524698257446289
spambase_data.csv,4601,57,NLLCD,0.9113814074717637,0.8526315789473684,0.9526627218934911,0.9680800373715354,0,40,1.0,10.0,1.3351545333862305
bank_data.csv,41188,57,FR,0.9001650966300865,0.22289679098005205,0.9855643044619422,0.7746590828900074,0,23,0.0,2.7472011774326113,2013.7564458847046
bank_data.csv,41188,57,LR,0.9001650966300865,0.21769297484822203,0.9862204724409449,0.775951500479179,0,57,0.12646097682385574,2.748005862845321,0.48119688034057617
bank_data.csv,41188,57,Round,0.8937554627561426,0.2775368603642671,0.9714566929133859,0.6867648699159786,0,6,0.0,3.0,0.48121166229248047
bank_data.csv,41188,57,NLLCD,0.899970865300573,0.19861231569817867,0.9884076990376203,0.7760500015555297,0,49,2.0,10.0,18.347282886505127
