data, n, p, method, acc, sens, spec, auc, lambda0, non-zeros, med_abs, max_abs, time 
breastcancer_data.csv,683,9,CPA,0.953216374,0.911764706,0.980582524,0.989434609,0,4,0,1,0.813437223
tbrisk_data.csv,1347,12,CPA,0.732937685,0.812865497,0.65060241,0.82001691,0,5,0,1,30.15614009
spambase_data.csv,4601,57,CPA,0.910512598,0.825263158,0.970414201,0.966427904,0,17,0,13,151.04303
bank_data.csv,41188,57,CPA,0.892104496,0.30008673,0.966754156,0.757631154,0,8,0,2,84.109478
breastcancer_data.csv,683,9,LR,0.953216374,0.897058824,0.990291262,0.998572244,0,9,0.371130385,0.593207676,0.017192841
tbrisk_data.csv,1347,12,LR,0.771513353,0.736842105,0.807228916,0.835957867,0,12,0.314792352,1.116695276,0.004251957
spambase_data.csv,4601,57,LR,0.926151173,0.877894737,0.960059172,0.974023669,0,57,0.678469104,7.473296638,0.302198887
bank_data.csv,41188,57,LR,0.900165097,0.217692975,0.986220472,0.775948086,0,57,0.127820112,2.759146779,0.395608902
breastcancer_data.csv,683,9,NLLCD,0.941520468,0.867647059,0.990291262,0.997929754,0,8,1,5,0.241412878
tbrisk_data.csv,1347,12,NLLCD,0.756676558,0.695906433,0.819277108,0.815507645,0,8,1.5,6,0.201327085
spambase_data.csv,4601,57,NLLCD,0.911381407,0.852631579,0.952662722,0.968924011,0,38,1,10,1.343105078
bank_data.csv,41188,57,NLLCD,0.899970865,0.198612316,0.988407699,0.776414271,0,49,2,10,20.90816021
breastcancer_data.csv,683,9,Round,0.602339181,0,1,0.945888064,0,1,0,1,0.017215729
tbrisk_data.csv,1347,12,Round,0.623145401,0.935672515,0.301204819,0.812812654,0,4,0,1,0.004261971
spambase_data.csv,4601,57,Round,0.876629018,0.736842105,0.974852071,0.965915603,0,32,1,7,0.302207708
bank_data.csv,41188,57,Round,0.893755463,0.27753686,0.971456693,0.68676487,0,6,0,3,0.395619869
breastcancer_data.csv,683,9,FR,0.602339181,0,1,0.001998858,0,9,9.604101662,9.973490187,1.536410093
tbrisk_data.csv,1347,12,FR,0.537091988,0.994152047,0.06626506,0.805590784,0,11,0.420125841,1.260377523,1.224607944
spambase_data.csv,4601,57,FR,0.587315378,0,1,0.263964497,0,56,1.490577696,6.459170015,403.8969662
bank_data.csv,41188,57,FR,0.888025639,0,1,0.709594403,0,57,2.47248106,3.021921295,1853.104779
