"data","n","p","lambda0","non_zeros","med_abs","max_abs","acc","sens","spec","sec"
"simulate_0_1_9_0.1_1_data.csv",1000,11,0,2,0,10,0.844,0.832310838445808,0.85518590998043,0.0944349765777588
"simulate_0_1_9_0.1_10_data.csv",1000,11,0,2,0,10,0.765,0.77079107505071,0.759368836291913,0.0986909866333008
"simulate_0_1_9_0.1_2_data.csv",1000,11,0,3,0,10,0.801,0.816955684007707,0.783783783783784,0.0928659439086914
"simulate_0_1_9_0.1_3_data.csv",1000,11,0,3,0,10,0.827,0.815950920245399,0.837573385518591,0.102061986923218
"simulate_0_1_9_0.1_4_data.csv",1000,11,0,1,0,10,0.836,0.838056680161943,0.83399209486166,0.0907750129699707
"simulate_0_1_9_0.1_5_data.csv",1000,11,0,2,0,10,0.799,0.796812749003984,0.801204819277108,0.0952959060668945
"simulate_0_1_9_0.1_6_data.csv",1000,11,0,4,0,10,0.732,0.700623700623701,0.761078998073218,0.0856409072875977
"simulate_0_1_9_0.1_7_data.csv",1000,11,0,5,0.5,10,0.771,0.773279352226721,0.768774703557312,0.0910520553588867
"simulate_0_1_9_0.1_8_data.csv",1000,11,0,1,0,10,0.832,0.818371607515658,0.844529750479846,0.0618929862976074
"simulate_0_1_9_0.1_9_data.csv",1000,11,0,6,1,10,0.761,0.768031189083821,0.753593429158111,0.0693941116333008
"simulate_0_1_9_0.5_1_data.csv",1000,11,0,1,0,10,0.811,0.79492600422833,0.825426944971537,0.0617661476135254
"simulate_0_1_9_0.5_10_data.csv",1000,11,0,2,0,10,0.795,0.799607072691552,0.790224032586558,0.0591800212860107
"simulate_0_1_9_0.5_2_data.csv",1000,11,0,2,0,10,0.799,0.773019271948608,0.821763602251407,0.0582151412963867
"simulate_0_1_9_0.5_3_data.csv",1000,11,0,4,0,10,0.77,0.785571142284569,0.754491017964072,0.0659098625183105
"simulate_0_1_9_0.5_4_data.csv",1000,11,0,3,0,10,0.803,0.800411522633745,0.805447470817121,0.0831031799316406
"simulate_0_1_9_0.5_5_data.csv",1000,11,0,2,0,10,0.835,0.828402366863905,0.841784989858012,0.0660488605499268
"simulate_0_1_9_0.5_6_data.csv",1000,11,0,5,0.5,10,0.796,0.796,0.796,0.058635950088501
"simulate_0_1_9_0.5_7_data.csv",1000,11,0,6,1,10,0.706,0.679012345679012,0.731517509727626,0.059899091720581
"simulate_0_1_9_0.5_8_data.csv",1000,11,0,5,0.5,10,0.796,0.803571428571429,0.788306451612903,0.0590860843658447
"simulate_0_1_9_0.5_9_data.csv",1000,11,0,2,0,10,0.819,0.790149892933619,0.844277673545966,0.061025857925415
"simulate_0_1_9_0.9_1_data.csv",1000,11,0,8,1,10,0.813,0.816443594646271,0.809224318658281,0.0567958354949951
"simulate_0_1_9_0.9_10_data.csv",1000,11,0,8,1,10,0.795,0.794411177644711,0.79559118236473,0.0595459938049316
"simulate_0_1_9_0.9_2_data.csv",1000,11,0,9,1,10,0.694,0.675456389452333,0.712031558185404,0.058258056640625
"simulate_0_1_9_0.9_3_data.csv",1000,11,0,9,1,10,0.811,0.833333333333333,0.786016949152542,0.0936970710754395
"simulate_0_1_9_0.9_4_data.csv",1000,11,0,4,0,10,0.831,0.820618556701031,0.840776699029126,0.0606839656829834
"simulate_0_1_9_0.9_5_data.csv",1000,11,0,7,1,10,0.783,0.780040733197556,0.785854616895874,0.0616679191589355
"simulate_0_1_9_0.9_6_data.csv",1000,11,0,10,2,10,0.738,0.74901185770751,0.726720647773279,0.0648019313812256
"simulate_0_1_9_0.9_7_data.csv",1000,11,0,7,1,10,0.744,0.757936507936508,0.729838709677419,0.0624709129333496
"simulate_0_1_9_0.9_8_data.csv",1000,11,0,6,1,10,0.845,0.847695390781563,0.842315369261477,0.0633721351623535
"simulate_0_1_9_0.9_9_data.csv",1000,11,0,6,1,10,0.83,0.848076923076923,0.810416666666667,0.0937900543212891
"simulate_0_10_90_0.1_1_data.csv",1000,101,0,66,1,10,0.906,0.909270216962525,0.9026369168357,2.59323406219482
"simulate_0_10_90_0.1_10_data.csv",1000,101,0,60,1,10,0.899,0.901840490797546,0.896281800391389,3.57378005981445
"simulate_0_10_90_0.1_2_data.csv",1000,101,0,54,1,10,0.884,0.881002087682672,0.886756238003839,2.48154211044312
"simulate_0_10_90_0.1_3_data.csv",1000,101,0,45,0,10,0.879,0.875,0.883064516129032,3.25063109397888
"simulate_0_10_90_0.1_4_data.csv",1000,101,0,54,1,10,0.9,0.90138067061144,0.898580121703854,3.24144721031189
"simulate_0_10_90_0.1_5_data.csv",1000,101,0,58,1,10,0.87,0.859504132231405,0.87984496124031,1.13111901283264
"simulate_0_10_90_0.1_6_data.csv",1000,101,0,58,1,10,0.882,0.873684210526316,0.88952380952381,2.09572720527649
"simulate_0_10_90_0.1_7_data.csv",1000,101,0,58,1,10,0.869,0.863095238095238,0.875,3.10025405883789
"simulate_0_10_90_0.1_8_data.csv",1000,101,0,55,1,10,0.874,0.883196721311475,0.865234375,3.24332404136658
"simulate_0_10_90_0.1_9_data.csv",1000,101,0,51,1,10,0.875,0.877755511022044,0.872255489021956,2.15191102027893
"simulate_0_10_90_0.5_1_data.csv",1000,101,0,71,1,10,0.895,0.89083820662768,0.899383983572895,2.22839999198914
"simulate_0_10_90_0.5_10_data.csv",1000,101,0,71,1,10,0.896,0.892,0.9,1.73099899291992
"simulate_0_10_90_0.5_2_data.csv",1000,101,0,64,1,10,0.902,0.905697445972495,0.89816700610998,1.77298808097839
"simulate_0_10_90_0.5_3_data.csv",1000,101,0,81,1,10,0.894,0.886409736308316,0.90138067061144,2.42802309989929
"simulate_0_10_90_0.5_4_data.csv",1000,101,0,72,1,10,0.867,0.870517928286853,0.863453815261044,2.836501121521
"simulate_0_10_90_0.5_5_data.csv",1000,101,0,79,1,10,0.891,0.890269151138716,0.891682785299807,1.97188401222229
"simulate_0_10_90_0.5_6_data.csv",1000,101,0,82,1,10,0.874,0.876767676767677,0.871287128712871,1.80983805656433
"simulate_0_10_90_0.5_7_data.csv",1000,101,0,76,1,10,0.895,0.898635477582846,0.891170431211499,2.22056293487549
"simulate_0_10_90_0.5_8_data.csv",1000,101,0,75,1,10,0.883,0.893854748603352,0.870410367170626,2.76583695411682
"simulate_0_10_90_0.5_9_data.csv",1000,101,0,77,1,10,0.88,0.895038167938931,0.86344537815126,2.22768020629883
"simulate_0_10_90_0.9_1_data.csv",1000,101,0,92,3,10,0.884,0.879446640316206,0.888663967611336,4.67826199531555
"simulate_0_10_90_0.9_10_data.csv",1000,101,0,92,3,10,0.911,0.899383983572895,0.922027290448343,2.81001305580139
"simulate_0_10_90_0.9_2_data.csv",1000,101,0,90,2,10,0.881,0.877755511022044,0.884231536926148,3.29716610908508
"simulate_0_10_90_0.9_3_data.csv",1000,101,0,90,3,10,0.892,0.904580152671756,0.878151260504202,3.54494404792786
"simulate_0_10_90_0.9_4_data.csv",1000,101,0,92,3,10,0.882,0.879142300194932,0.885010266940452,3.08825588226318
"simulate_0_10_90_0.9_5_data.csv",1000,101,0,92,4,10,0.905,0.916349809885932,0.892405063291139,2.98970699310303
"simulate_0_10_90_0.9_6_data.csv",1000,101,0,90,2,10,0.917,0.921104536489152,0.912778904665314,2.62832093238831
"simulate_0_10_90_0.9_7_data.csv",1000,101,0,90,2,10,0.896,0.898809523809524,0.893145161290323,3.12235999107361
"simulate_0_10_90_0.9_8_data.csv",1000,101,0,88,3,10,0.882,0.880566801619433,0.883399209486166,3.98812913894653
"simulate_0_10_90_0.9_9_data.csv",1000,101,0,89,2,10,0.906,0.904854368932039,0.907216494845361,3.11013507843018
"simulate_0_25_25_0.1_1_data.csv",1000,51,0,41,2,10,0.865,0.867704280155642,0.862139917695473,0.83583402633667
"simulate_0_25_25_0.1_10_data.csv",1000,51,0,41,2,10,0.871,0.87426326129666,0.867617107942974,1.19564294815063
"simulate_0_25_25_0.1_2_data.csv",1000,51,0,43,2,10,0.862,0.871401151631478,0.851774530271399,0.682744026184082
"simulate_0_25_25_0.1_3_data.csv",1000,51,0,43,2,10,0.876,0.880157170923379,0.871690427698574,0.861876010894775
"simulate_0_25_25_0.1_4_data.csv",1000,51,0,39,2,10,0.867,0.869649805447471,0.864197530864197,0.615050077438354
