"data","n","p","lambda0","non_zeros","med_abs","max_abs","acc","sens","spec","sec"
"simulate_0_1_9_0.1_1_data.csv",1000,11,0.0761450613721025,1,0,10,0.84,0.824130879345603,0.85518590998043,5.76433706283569
"simulate_0_1_9_0.1_10_data.csv",1000,11,0.0638810797225605,1,0,10,0.762,0.764705882352941,0.759368836291913,5.63331913948059
"simulate_0_1_9_0.1_2_data.csv",1000,11,0.0686542669954939,1,0,10,0.791,0.799614643545279,0.781704781704782,5.25098896026611
"simulate_0_1_9_0.1_3_data.csv",1000,11,0.0727174096630543,1,0,10,0.827,0.822085889570552,0.831702544031311,5.71645402908325
"simulate_0_1_9_0.1_4_data.csv",1000,11,0.0749062647852336,1,0,10,0.836,0.838056680161943,0.83399209486166,5.35529184341431
"simulate_0_1_9_0.1_5_data.csv",1000,11,0.0695750388481341,1,0,10,0.799,0.794820717131474,0.803212851405622,5.32931613922119
"simulate_0_1_9_0.1_6_data.csv",1000,11,0.0533411716851811,1,0,10,0.719,0.688149688149688,0.747591522157996,4.8880729675293
"simulate_0_1_9_0.1_7_data.csv",1000,11,0.0635969164182204,1,0,10,0.768,0.771255060728745,0.764822134387352,5.3107180595398
"simulate_0_1_9_0.1_8_data.csv",1000,11,0.0727980794158588,1,0,10,0.832,0.818371607515658,0.844529750479846,5.64262509346008
"simulate_0_1_9_0.1_9_data.csv",1000,11,0.059961474169662,1,0,10,0.757,0.771929824561403,0.741273100616016,5.20565891265869
"simulate_0_1_9_0.5_1_data.csv",1000,11,0.0497095513100055,1,0,10,0.811,0.79492600422833,0.825426944971537,6.13161516189575
"simulate_0_1_9_0.5_10_data.csv",1000,11,0.0458548771866466,1,0,10,0.79,0.787819253438114,0.792260692464358,5.45944309234619
"simulate_0_1_9_0.5_2_data.csv",1000,11,0.0473403789940167,1,0,10,0.804,0.788008565310492,0.818011257035647,5.61943101882935
"simulate_0_1_9_0.5_3_data.csv",1000,11,0.044007197142998,1,0,9,0.777,0.787575150300601,0.766467065868264,5.32758784294128
"simulate_0_1_9_0.5_4_data.csv",1000,11,0.0470263213773787,1,0,10,0.798,0.790123456790123,0.805447470817121,5.82997298240662
"simulate_0_1_9_0.5_5_data.csv",1000,11,0.0506979764656175,1,0,10,0.828,0.816568047337278,0.839756592292089,5.91624712944031
"simulate_0_1_9_0.5_6_data.csv",1000,11,0.0476952678443988,1,0,10,0.798,0.798,0.798,5.74409413337708
"simulate_0_1_9_0.5_7_data.csv",1000,11,0.0341252557620573,1,0,10,0.7,0.674897119341564,0.723735408560311,5.17701196670532
"simulate_0_1_9_0.5_8_data.csv",1000,11,0.0467850862268212,1,0,10,0.789,0.785714285714286,0.792338709677419,5.50841999053955
"simulate_0_1_9_0.5_9_data.csv",1000,11,0.047813152402151,1,0,10,0.817,0.785867237687366,0.844277673545966,5.7243378162384
"simulate_0_1_9_0.9_1_data.csv",1000,11,0.0225382458104902,1,0,4,0.799,0.803059273422562,0.794549266247379,7.91015315055847
"simulate_0_1_9_0.9_10_data.csv",1000,11,0.146136829847734,0,0,0,0.501,1,0,7.75859808921814
"simulate_0_1_9_0.9_2_data.csv",1000,11,0.0105896754697659,1,0,5,0.67,0.65314401622718,0.686390532544379,5.52064609527588
"simulate_0_1_9_0.9_3_data.csv",1000,11,0.0336475801108806,1,0,7,0.814,0.835227272727273,0.790254237288136,8.18338894844055
"simulate_0_1_9_0.9_4_data.csv",1000,11,0.0333560264136387,1,0,4,0.774,0.769072164948454,0.778640776699029,7.19049692153931
"simulate_0_1_9_0.9_5_data.csv",1000,11,0.0218096482971306,3,0,4,0.781,0.775967413441955,0.785854616895874,7.58618998527527
"simulate_0_1_9_0.9_6_data.csv",1000,11,0.126666518443022,1,0,8,0.718,0.715415019762846,0.720647773279352,6.64047384262085
"simulate_0_1_9_0.9_7_data.csv",1000,11,0.0876895594486862,1,0,4,0.721,0.732142857142857,0.709677419354839,6.68611598014832
"simulate_0_1_9_0.9_8_data.csv",1000,11,0.0348788635682793,1,0,7,0.837,0.845691382765531,0.828343313373254,7.63282299041748
"simulate_0_1_9_0.9_9_data.csv",1000,11,0.034511658900742,1,0,2,0.84,0.85,0.829166666666667,8.33921599388123
"simulate_0_10_90_0.1_1_data.csv",1000,101,0.0342465619947149,7,0,10,0.848,0.865877712031558,0.829614604462475,132.188653945923
"simulate_0_10_90_0.1_10_data.csv",1000,101,0.0187577096514659,9,0,10,0.879,0.87321063394683,0.88454011741683,138.726130962372
"simulate_0_10_90_0.1_2_data.csv",1000,101,0.0146244014492596,8,0,10,0.856,0.849686847599165,0.861804222648752,152.622704029083
"simulate_0_10_90_0.1_3_data.csv",1000,101,0.028317064777336,6,0,10,0.842,0.853174603174603,0.830645161290323,141.378468990326
"simulate_0_10_90_0.1_4_data.csv",1000,101,0.0269348680571899,7,0,10,0.852,0.859960552268245,0.843813387423935,119.343258142471
"simulate_0_10_90_0.1_5_data.csv",1000,101,0.0124069751188687,7,0,10,0.84,0.830578512396694,0.848837209302326,124.224438905716
"simulate_0_10_90_0.1_6_data.csv",1000,101,0.0269871431642721,9,0,10,0.865,0.856842105263158,0.872380952380952,130.321166992188
"simulate_0_10_90_0.1_7_data.csv",1000,101,0.0234504878500873,9,0,10,0.85,0.853174603174603,0.846774193548387,140.747385025024
"simulate_0_10_90_0.1_8_data.csv",1000,101,0.0203421965102646,8,0,10,0.836,0.831967213114754,0.83984375,136.475181102753
"simulate_0_10_90_0.1_9_data.csv",1000,101,0.0189030643767099,8,0,10,0.859,0.855711422845691,0.862275449101796,145.039504051208
"simulate_0_10_90_0.5_1_data.csv",1000,101,0.0220043801292163,5,0,10,0.844,0.84990253411306,0.837782340862423,166.008223056793
"simulate_0_10_90_0.5_10_data.csv",1000,101,0.0222050835809013,5,0,10,0.844,0.842,0.846,145.678596019745
