"data","n","p","lambda0","non_zeros","med_abs","max_abs","acc","sens","spec","sec"
"simulate_0_1_9_0.1_1_data.csv",1000,11,0.00518770264107451,1,0,10,0.84,0.824130879345603,0.85518590998043,5.74581003189087
"simulate_0_1_9_0.1_10_data.csv",1000,11,0.00202009711314088,1,0,10,0.762,0.764705882352941,0.759368836291913,5.27102708816528
"simulate_0_1_9_0.1_2_data.csv",1000,11,0.00467736076110177,1,0,10,0.791,0.799614643545279,0.781704781704782,5.28463196754456
"simulate_0_1_9_0.1_3_data.csv",1000,11,0.00337524316701279,1,0,10,0.827,0.822085889570552,0.831702544031311,5.64200401306152
"simulate_0_1_9_0.1_4_data.csv",1000,11,0.00109947360592071,1,0,10,0.836,0.838056680161943,0.83399209486166,5.67840909957886
"simulate_0_1_9_0.1_5_data.csv",1000,11,0.00322938723415674,1,0,10,0.799,0.794820717131474,0.803212851405622,5.22249698638916
"simulate_0_1_9_0.1_6_data.csv",1000,11,0.00168679595587254,2,0,10,0.714,0.69022869022869,0.736030828516378,4.84034705162048
"simulate_0_1_9_0.1_7_data.csv",1000,11,0.00635969164182204,1,0,10,0.768,0.771255060728745,0.764822134387352,5.30216717720032
"simulate_0_1_9_0.1_8_data.csv",1000,11,0.00156838707661222,1,0,10,0.832,0.818371607515658,0.844529750479846,5.62588405609131
"simulate_0_1_9_0.1_9_data.csv",1000,11,0.00278316508952864,1,0,10,0.757,0.771929824561403,0.741273100616016,5.38995385169983
"simulate_0_1_9_0.5_1_data.csv",1000,11,0.00230731298284423,1,0,10,0.811,0.79492600422833,0.825426944971537,6.05481386184692
"simulate_0_1_9_0.5_10_data.csv",1000,11,0.00212839485916224,1,0,10,0.79,0.787819253438114,0.792260692464358,5.23607397079468
"simulate_0_1_9_0.5_2_data.csv",1000,11,0.00473403789940167,1,0,4,0.804,0.788008565310492,0.818011257035647,5.80640602111816
"simulate_0_1_9_0.5_3_data.csv",1000,11,0.0044007197142998,1,0,10,0.777,0.787575150300601,0.766467065868264,5.598552942276
"simulate_0_1_9_0.5_4_data.csv",1000,11,0.00470263213773787,1,0,10,0.798,0.790123456790123,0.805447470817121,5.4695508480072
"simulate_0_1_9_0.5_5_data.csv",1000,11,0.00345401292833124,1,0,10,0.828,0.816568047337278,0.839756592292089,6.24579691886902
"simulate_0_1_9_0.5_6_data.csv",1000,11,0.000476952678443989,5,0.5,10,0.796,0.796,0.796,5.69476985931396
"simulate_0_1_9_0.5_7_data.csv",1000,11,0.0107913533943886,1,0,8,0.7,0.674897119341564,0.723735408560311,5.06195306777954
