"data","n","p","lambda0","non_zeros","med_abs","max_abs","acc","sens","spec","sec"
"sim_1000_5_1_0_1_1_data.csv",1000,7,0,6,2,10,0.679,0.525316455696203,0.817490494296578,0.232407093048096
"sim_1000_5_1_0_1_10_data.csv",1000,7,0,5,3,10,0.699,0.624254473161034,0.774647887323944,0.028731107711792
"sim_1000_5_1_0_1_2_data.csv",1000,7,0,5,6.5,10,0.598,0.678714859437751,0.51792828685259,0.0300829410552979
"sim_1000_5_1_0_1_3_data.csv",1000,7,0,5,2,10,0.832,0.733752620545073,0.921606118546845,0.0461211204528809
"sim_1000_5_1_0_1_4_data.csv",1000,7,0,4,2,10,0.881,0.781456953642384,0.963436928702011,0.0311541557312012
"sim_1000_5_1_0_1_5_data.csv",1000,7,0,5,2,10,0.911,0.932301740812379,0.888198757763975,0.0300390720367432
"sim_1000_5_1_0_1_6_data.csv",1000,7,0,4,1,10,0.651,0.756238003838772,0.536534446764092,0.0333588123321533
"sim_1000_5_1_0_1_7_data.csv",1000,7,0,6,5.5,10,0.647,0.568464730290456,0.72007722007722,0.0286941528320312
"sim_1000_5_1_0_1_8_data.csv",1000,7,0,6,3,10,0.654,0.668627450980392,0.638775510204082,0.0293259620666504
"sim_1000_5_1_0_1_9_data.csv",1000,7,0,6,3.5,10,0.653,0.607142857142857,0.699596774193548,0.0283911228179932
"sim_1000_5_1_0_2_1_data.csv",1000,7,0,6,3,10,0.803,0.880952380952381,0.723790322580645,0.0369830131530762
"sim_1000_5_1_0_2_10_data.csv",1000,7,0,5,2,10,0.815,0.795724465558195,0.829015544041451,0.0314970016479492
"sim_1000_5_1_0_2_2_data.csv",1000,7,0,6,3,10,0.741,0.685483870967742,0.795634920634921,0.0331010818481445
"sim_1000_5_1_0_2_3_data.csv",1000,7,0,3,0.5,10,0.701,0.865707434052758,0.583190394511149,0.0500080585479736
"sim_1000_5_1_0_2_4_data.csv",1000,7,0,6,3,10,0.739,0.76,0.718,0.0292868614196777
"sim_1000_5_1_0_2_5_data.csv",1000,7,0,4,1,10,0.906,0.891440501043841,0.919385796545106,0.0444438457489014
"sim_1000_5_1_0_2_6_data.csv",1000,7,0,5,2.5,10,0.662,0.791828793774319,0.524691358024691,0.0289390087127686
"sim_1000_5_1_0_2_7_data.csv",1000,7,0,5,1,10,0.799,0.980099502487562,0.523929471032746,0.0401120185852051
"sim_1000_5_1_0_2_8_data.csv",1000,7,0,6,2.5,10,0.931,0.944773175542406,0.91683569979716,0.030832052230835
"sim_1000_5_1_0_2_9_data.csv",1000,7,0,3,0.5,10,0.829,1,0.492581602373887,0.0662500858306885
"sim_1000_5_1_0_3_1_data.csv",1000,7,0,6,5,10,0.749,0.794019933554817,0.680904522613065,0.0366652011871338
"sim_1000_5_1_0_3_10_data.csv",1000,7,0,5,2.5,10,0.893,0.951327433628319,0.770186335403727,0.0349979400634766
"sim_1000_5_1_0_3_2_data.csv",1000,7,0,6,2,10,0.632,0.885382059800664,0.248743718592965,0.0360300540924072
"sim_1000_5_1_0_3_3_data.csv",1000,7,0,6,7.5,10,0.687,0.825581395348837,0.477386934673367,0.0282859802246094
"sim_1000_5_1_0_3_4_data.csv",1000,7,0,5,1,10,0.922,0.896661367249603,0.964959568733154,0.0298099517822266
"sim_1000_5_1_0_3_5_data.csv",1000,7,0,5,3.5,10,0.724,0.911532385466035,0.400544959128065,0.0530190467834473
"sim_1000_5_1_0_3_6_data.csv",1000,7,0,6,7,10,0.715,0.802507836990596,0.560773480662983,0.028141975402832
"sim_1000_5_1_0_3_7_data.csv",1000,7,0,6,4,10,0.847,0.923809523809524,0.716216216216216,0.0542740821838379
"sim_1000_5_1_0_3_8_data.csv",1000,7,0,5,1,10,0.858,0.732824427480916,0.995798319327731,0.0389409065246582
"sim_1000_5_1_0_3_9_data.csv",1000,7,0,5,4.5,10,0.802,0.860248447204969,0.696629213483146,0.0285718441009521
"sim_1000_5_1_10_1_1_data.csv",1000,7,0,6,2,10,0.597,0.537190082644628,0.653100775193798,0.035059928894043
"sim_1000_5_1_10_1_10_data.csv",1000,7,0,6,4.5,10,0.665,0.85239852398524,0.443231441048035,0.042572021484375
"sim_1000_5_1_10_1_2_data.csv",1000,7,0,6,3,10,0.583,0.583162217659138,0.582846003898636,0.026785135269165
"sim_1000_5_1_10_1_3_data.csv",1000,7,0,6,2,10,0.607,0.738955823293173,0.47609561752988,0.041701078414917
"sim_1000_5_1_10_1_4_data.csv",1000,7,0,5,3,10,0.741,0.738613861386139,0.743434343434343,0.0246648788452148
"sim_1000_5_1_10_1_5_data.csv",1000,7,0,2,0,10,0.554,0.874274661508704,0.211180124223602,0.0294909477233887
"sim_1000_5_1_10_1_6_data.csv",1000,7,0,6,3,10,0.686,0.805394990366089,0.557172557172557,0.0534648895263672
"sim_1000_5_1_10_1_7_data.csv",1000,7,0,5,2,9,0.556,0.793939393939394,0.322772277227723,0.0243229866027832
"sim_1000_5_1_10_1_8_data.csv",1000,7,0,6,2.5,10,0.71,0.57563025210084,0.83206106870229,0.0263378620147705
"sim_1000_5_1_10_1_9_data.csv",1000,7,0,6,8.5,10,0.666,0.72972972972973,0.597510373443983,0.0553410053253174
"sim_1000_5_1_10_2_1_data.csv",1000,7,0,5,1.5,10,0.777,0.569296375266525,0.96045197740113,0.0447168350219727
"sim_1000_5_1_10_2_10_data.csv",1000,7,0,5,1,10,0.674,0.632443531827515,0.713450292397661,0.0303740501403809
"sim_1000_5_1_10_2_2_data.csv",1000,7,0,5,1.5,10,0.819,0.832310838445808,0.806262230919765,0.0415940284729004
"sim_1000_5_1_10_2_3_data.csv",1000,7,0,5,4.5,9,0.572,0.453191489361702,0.677358490566038,0.0290100574493408
"sim_1000_5_1_10_2_4_data.csv",1000,7,0,5,1,10,0.764,0.592436974789916,0.919847328244275,0.0522749423980713
"sim_1000_5_1_10_2_5_data.csv",1000,7,0,5,1.5,10,0.774,0.660493827160494,0.881322957198444,0.0279800891876221
"sim_1000_5_1_10_2_6_data.csv",1000,7,0,5,2.5,10,0.659,0.758483033932136,0.559118236472946,0.0310049057006836
"sim_1000_5_1_10_2_7_data.csv",1000,7,0,6,2,10,0.724,0.888679245283019,0.538297872340426,0.028331995010376
"sim_1000_5_1_10_2_8_data.csv",1000,7,0,5,3.5,10,0.693,0.668058455114823,0.715930902111324,0.0277779102325439
"sim_1000_5_1_10_2_9_data.csv",1000,7,0,6,3.5,10,0.704,0.742,0.666,0.0346789360046387
