,Features,Coefs
0,Spam,-1.0
4,WordFreq3D,2.0
5,WordFreqOur,1.0
6,WordFreqOver,1.0
7,WordFreqRemove,2.0
8,WordFreqInternet,1.0
9,WordFreqOrder,1.0
15,WordFreqAddresses,1.0
16,WordFreqFree,1.0
17,WordFreqBusiness,1.0
20,WordFreqCredit,1.0
23,WordFreq0,2.0
24,WordFreqMoney,1.0
25,WordFreqHP,-2.0
26,WordFreqHPL,-1.0
27,WordFreqGeorge,-5.0
29,WordFreqLab,-3.0
31,WordFreqTelnet,-1.0
32,WordFreq857,1.0
33,WordFreqData,-1.0
35,WordFreq85,-2.0
36,WordFreqTechnology,1.0
38,WordFreqParts,-1.0
39,WordFreqPM,-1.0
41,WordFreqCS,-5.0
42,WordFreqMeeting,-3.0
43,WordFreqOriginal,-1.0
44,WordFreqProject,-2.0
45,WordFreqRE,-1.0
46,WordFreqEDU,-1.0
47,WordFreqTable,-2.0
48,WordFreqConference,-4.0
49,CharFreqSemicolon,-1.0
51,CharFreqBracket,-1.0
52,CharFreqExcalamationMark,1.0
53,CharFreqDollarSign,5.0
54,CharFreqPound,3.0
