,Features,Coefs
0,Intercept,-1.0
4,WordFreq3D,1.0
5,WordFreqOur,1.0
6,WordFreqOver,1.0
7,WordFreqRemove,2.0
8,WordFreqInternet,1.0
9,WordFreqOrder,1.0
15,WordFreqAddresses,1.0
16,WordFreqFree,1.0
17,WordFreqBusiness,1.0
20,WordFreqCredit,1.0
23,WordFreq0,2.0
25,WordFreqHP,-2.0
26,WordFreqHPL,-1.0
27,WordFreqGeorge,-8.0
29,WordFreqLab,-1.0
33,WordFreqData,-1.0
35,WordFreq85,-1.0
36,WordFreqTechnology,1.0
39,WordFreqPM,-1.0
41,WordFreqCS,-3.0
42,WordFreqMeeting,-2.0
43,WordFreqOriginal,-1.0
44,WordFreqProject,-1.0
45,WordFreqRE,-1.0
46,WordFreqEDU,-1.0
47,WordFreqTable,-1.0
48,WordFreqConference,-2.0
49,CharFreqSemicolon,-1.0
53,CharFreqDollarSign,5.0
54,CharFreqPound,1.0
