,Features,Coefs
0,Intercept,-0.25554230703857966
4,age_40_to_50,-1.0
6,age_ge_60,1.0
9,job_student,1.0
26,credit_is_or_may_be_in_default,-1.0
30,called_landline,-1.0
31,call_in_Q1,1.0
32,call_in_Q2,-1.0
33,call_in_Q3,-1.0
42,called_before,2.0
45,calls_b4_campaign_failed,-1.0
46,calls_b4_campaign_successful,1.0
48,emp_var_rate_gt_1,-1.0
51,cons_price_idx_geq_93_5,1.0
53,euribor3m_geq_100,-1.0
56,euribor3m_geq_400,-2.0
57,euribor3m_geq_500,6.0
58,Accuracy,0.896698227725176
59,Sensitivity,0.984800766808161
60,Specificity,0.20855614973262032
61,AUC,0.776304880933116
