,Features,Coefs
0,Intercept,-23.996139360463122
1,V1,2.0
2,V2,1.0
3,V3,2.0
5,V5,1.0
6,V6,1.0
9,V9,2.0
12,V12,1.0
13,V13,1.0
14,V14,2.0
15,V15,1.0
16,V16,1.0
17,V17,2.0
18,V18,1.0
19,V19,1.0
20,V20,1.0
21,V21,2.0
22,V22,1.0
24,V24,5.0
25,V25,8.0
26,V26,3.0
27,V27,7.0
29,V29,5.0
30,V30,5.0
31,V31,9.0
32,V32,3.0
33,V33,2.0
34,V34,1.0
35,V35,4.0
36,V36,9.0
37,V37,7.0
38,V38,5.0
39,V39,2.0
40,V40,4.0
41,V41,3.0
42,Accuracy,0.872
43,Sensitivity,0.8808080808080808
44,Specificity,0.8633663366336634
45,AUC,0.954022402240224
