,Features,Coefs
0,Intercept,-1.492660425978263
4,WordFreq3D,2.0
5,WordFreqOur,1.0
6,WordFreqOver,1.0
7,WordFreqRemove,5.0
8,WordFreqInternet,1.0
9,WordFreqOrder,1.0
11,WordFreqReceive,-1.0
15,WordFreqAddresses,4.0
16,WordFreqFree,2.0
17,WordFreqBusiness,2.0
20,WordFreqCredit,3.0
22,WordFreqFont,1.0
23,WordFreq0,7.0
24,WordFreqMoney,1.0
25,WordFreqHP,-4.0
26,WordFreqHPL,-2.0
27,WordFreqGeorge,-13.0
28,WordFreq650,1.0
29,WordFreqLab,-4.0
30,WordFreqLabs,-2.0
31,WordFreqTelnet,-1.0
33,WordFreqData,-3.0
35,WordFreq85,-2.0
36,WordFreqTechnology,3.0
38,WordFreqParts,-2.0
39,WordFreqPM,-2.0
41,WordFreqCS,-3.0
42,WordFreqMeeting,-5.0
43,WordFreqOriginal,-2.0
44,WordFreqProject,-5.0
45,WordFreqRE,-2.0
46,WordFreqEDU,-3.0
47,WordFreqTable,-1.0
48,WordFreqConference,-4.0
49,CharFreqSemicolon,-3.0
50,CharFreqParentheses,-1.0
51,CharFreqBracket,-1.0
53,CharFreqDollarSign,9.0
54,CharFreqPound,3.0
58,Accuracy,0.9207383279044516
59,Sensitivity,0.9510357815442562
60,Specificity,0.8794871794871795
61,AUC,0.969496354242117
