,Features,Coefs
0,Intercept,[-1.49650362]
1,WordFreqMake,-0.325781129259794
2,WordFreqAddress,-0.1398278519265248
3,WordFreqAll,0.11349540598751967
4,WordFreq3D,0.7723711401781026
5,WordFreqOur,0.5558960016350863
6,WordFreqOver,0.7604463720016199
7,WordFreqRemove,2.226329001784942
8,WordFreqInternet,0.5690527453016351
9,WordFreqOrder,0.6085771873210829
10,WordFreqMail,0.11814217909789816
11,WordFreqReceive,-0.14284849376475062
12,WordFreqWill,-0.14307432827580216
13,WordFreqPeople,0.0
14,WordFreqReport,0.11249651391724402
15,WordFreqAddresses,0.7989665784873967
16,WordFreqFree,0.9866170799507941
17,WordFreqBusiness,0.9011802016041806
18,WordFreqEmail,0.10569475100118483
19,WordFreqYou,0.0813912150734128
20,WordFreqCredit,0.8451073825301763
21,WordFreqYour,0.23414047300830648
22,WordFreqFont,0.2302108693392494
23,WordFreq0,2.0838949538917846
24,WordFreqMoney,0.46998306050617217
25,WordFreqHP,-1.8650851919730316
26,WordFreqHPL,-0.8918930514430126
27,WordFreqGeorge,-7.508872694955608
28,WordFreq650,0.3581812401843422
29,WordFreqLab,-1.3139113185029592
30,WordFreqLabs,-0.24568859475247234
31,WordFreqTelnet,-0.06679455090160394
32,WordFreq857,0.0
33,WordFreqData,-0.7901575339141943
34,WordFreq415,0.0
35,WordFreq85,-1.3697946693812468
36,WordFreqTechnology,0.7396504895776291
37,WordFreq1999,0.0
38,WordFreqParts,-0.41664679207819316
39,WordFreqPM,-0.6810978134732629
40,WordFreqDirect,-0.09588978351522014
41,WordFreqCS,-2.746348409427735
42,WordFreqMeeting,-2.0488210329469574
43,WordFreqOriginal,-0.6815369637638867
44,WordFreqProject,-1.3075893610792468
45,WordFreqRE,-0.7345600316530155
46,WordFreqEDU,-1.446190801053585
47,WordFreqTable,-0.8708889193140461
48,WordFreqConference,-2.2252800085901385
49,CharFreqSemicolon,-1.0698743374547022
50,CharFreqParentheses,-0.08963598111714012
51,CharFreqBracket,-0.16476920012924823
52,CharFreqExcalamationMark,0.3708718175794359
53,CharFreqDollarSign,4.925964737733558
54,CharFreqPound,1.2780280527416024
55,CapitalRunLengthAverage,-0.009660210793006179
56,CapitalRunLengthLongest,0.00957678806410561
57,CapitalRunLengthTotal,0.0005424865100215593
