,Features,Coefs
0,Intercept,[-9.85822968]
1,Clump Thickness,0.4618005343809996
2,Uniformity of Cell Size,-0.0874958009822829
3,Uniformity of Cell Shape,0.3900508412548642
4,Marginal Adhesion,0.2960903565266117
5,Single Epithelial Cell Size,0.06338963483603842
6,Bare Nuclei,0.36341908974569387
7,Bland Chromatin,0.5395506453707373
8,Normal Nucleoli,0.1946685114108002
9,Mitoses,0.42394764562175313
10,Accuracy,0.9562043795620438
11,Sensitivity,0.9873417721518988
12,Specificity,0.9137931034482759
13,AUC,0.9978175469227412
