,Features,Coefs
0,Intercept,[-1.49266043]
1,WordFreqMake,-0.207291179839384
2,WordFreqAddress,-0.1682069525928121
3,WordFreqAll,0.13401306476599384
4,WordFreq3D,0.9490693099797851
5,WordFreqOur,0.661241921702416
6,WordFreqOver,0.5394985677733695
7,WordFreqRemove,2.678863550197686
8,WordFreqInternet,0.5083751982565463
9,WordFreqOrder,0.6785356029350182
10,WordFreqMail,0.08298104075250452
11,WordFreqReceive,-0.5045541041376427
12,WordFreqWill,-0.06752205041224618
13,WordFreqPeople,-0.013362465411684017
14,WordFreqReport,0.06836299913471935
15,WordFreqAddresses,1.7593269375263445
16,WordFreqFree,1.0625400518739976
17,WordFreqBusiness,0.8449944181672103
18,WordFreqEmail,0.016244382846676595
19,WordFreqYou,0.10700625617630666
20,WordFreqCredit,1.2979217165174566
21,WordFreqYour,0.20108541834423563
22,WordFreqFont,0.2913406714869943
23,WordFreq0,3.3179469167242575
24,WordFreqMoney,0.34838941667563467
25,WordFreqHP,-2.17803857229534
26,WordFreqHPL,-0.8164673025601169
27,WordFreqGeorge,-6.608045301723752
28,WordFreq650,0.3542908091275359
29,WordFreqLab,-1.7732707182102576
30,WordFreqLabs,-0.8661606296597387
31,WordFreqTelnet,-0.41168906840316327
32,WordFreq857,-0.17623699278718646
33,WordFreqData,-1.581365873031543
34,WordFreq415,-0.06641858652670275
35,WordFreq85,-1.2267275120784369
36,WordFreqTechnology,1.4167212722082665
37,WordFreq1999,0.02940665647830842
38,WordFreqParts,-0.7844187226181345
39,WordFreqPM,-1.1283122199071045
40,WordFreqDirect,-0.12956567761226395
41,WordFreqCS,-1.4971843263617137
42,WordFreqMeeting,-2.3300819034241202
43,WordFreqOriginal,-1.0773299007483639
44,WordFreqProject,-2.6872867633145807
45,WordFreqRE,-0.7590311424662356
46,WordFreqEDU,-1.522573499375271
47,WordFreqTable,-0.6180185270076457
48,WordFreqConference,-2.066342993455986
49,CharFreqSemicolon,-1.3485587644475707
50,CharFreqParentheses,-0.34649741210311824
51,CharFreqBracket,-0.36910776508446136
52,CharFreqExcalamationMark,0.2102549906735902
53,CharFreqDollarSign,4.530347838290614
54,CharFreqPound,1.3572772486203335
55,CapitalRunLengthAverage,-0.015243820509226737
56,CapitalRunLengthLongest,0.008799701759846268
57,CapitalRunLengthTotal,0.0009308760124836538
58,Accuracy,0.9207383279044516
59,Sensitivity,0.9510357815442562
60,Specificity,0.8794871794871795
61,AUC,0.969496354242117
