data,n,p,method,acc,sens,spec,auc,non-zeros
simulate10_10_5_9_data.csv,1000,20,CPA,0.788,0.8674948240165632,0.7137330754352031,0.8926278778267678,15
simulate10_10_5_9_data.csv,1000,20,LR,0.803,0.7991718426501035,0.8065764023210832,0.8994077153189086,21
simulate10_10_5_9_data.csv,1000,20,Round,0.755,0.9420289855072463,0.5802707930367504,0.8908157830452003,15
simulate10_10_5_9_data.csv,1000,20,Round_Med,0.769,0.9089026915113871,0.6382978723404256,0.8962700882219846,16
simulate5_5_3_1_data.csv,1000,10,CPA,0.834,0.8799212598425197,0.7865853658536586,0.920009522437744,7
simulate5_5_3_1_data.csv,1000,10,LR,0.853,0.8326771653543307,0.8739837398373984,0.9266052109339991,11
simulate5_5_3_1_data.csv,1000,10,Round,0.834,0.8838582677165354,0.782520325203252,0.9203176013059343,7
simulate5_5_3_1_data.csv,1000,10,Round_Med,0.855,0.8326771653543307,0.8780487804878049,0.9242306030343768,8
simulate10_10_5_8_data.csv,1000,20,CPA,0.827,0.876984126984127,0.7762096774193549,0.9057559683819765,15
simulate10_10_5_8_data.csv,1000,20,LR,0.837,0.8353174603174603,0.8387096774193549,0.9188328052995391,21
simulate10_10_5_8_data.csv,1000,20,Round,0.817,0.7619047619047619,0.8729838709677419,0.9057559683819765,15
simulate10_10_5_8_data.csv,1000,20,Round_Med,0.827,0.8472222222222222,0.8064516129032258,0.9110783090117768,17
simulate10_0_0_8_data.csv,1000,10,CPA,0.672,0.808300395256917,0.5323886639676113,0.7340957097822087,8
simulate10_0_0_8_data.csv,1000,10,LR,0.685,0.7608695652173914,0.6072874493927125,0.7454373429773887,11
simulate10_0_0_8_data.csv,1000,10,Round,0.672,0.808300395256917,0.5323886639676113,0.7340957097822086,8
simulate10_0_0_8_data.csv,1000,10,Round_Med,0.652,0.4407114624505929,0.868421052631579,0.7340957097822086,8
simulate10_0_0_9_data.csv,1000,10,CPA,0.667,0.8563106796116505,0.465979381443299,0.7500710639575618,9
simulate10_0_0_9_data.csv,1000,10,LR,0.713,0.7281553398058253,0.6969072164948453,0.7720728655790212,11
simulate10_0_0_9_data.csv,1000,10,Round,0.711,0.7398058252427184,0.6804123711340206,0.751584425983385,8
simulate10_0_0_9_data.csv,1000,10,Round_Med,0.698,0.7805825242718447,0.6103092783505155,0.7612991692523271,10
simulate10_0_0_10_data.csv,1000,10,CPA,0.65,0.8228105906313645,0.48330058939096265,0.730026528595265,7
simulate10_0_0_10_data.csv,1000,10,LR,0.702,0.6415478615071283,0.7603143418467584,0.7626591015489019,11
simulate10_0_0_10_data.csv,1000,10,Round,0.578,0.15885947046843177,0.9823182711198428,0.7333135936043278,6
simulate10_0_0_10_data.csv,1000,10,Round_Med,0.673,0.814663951120163,0.5363457760314342,0.7554647705856697,11
simulate10_0_10_1_data.csv,1000,10,CPA,0.645,0.8326848249027238,0.44650205761316875,0.6867524138924918,8
simulate10_0_10_1_data.csv,1000,10,LR,0.647,0.6828793774319066,0.6090534979423868,0.7106971865942899,11
simulate10_0_10_1_data.csv,1000,10,Round,0.645,0.8326848249027238,0.44650205761316875,0.6867524138924918,8
simulate10_0_10_1_data.csv,1000,10,Round_Med,0.655,0.7412451361867705,0.5637860082304527,0.7040339626266993,10
simulate50_50_0_9_data.csv,1000,100,CPA,0.867,0.924901185770751,0.8076923076923077,0.9592581331711767,53
simulate50_50_0_9_data.csv,1000,100,LR,0.973,0.9802371541501976,0.9655870445344129,0.9966435166663999,101
simulate50_50_0_9_data.csv,1000,100,Round,0.915,1.0,0.8279352226720648,0.994919268374646,92
simulate50_50_0_9_data.csv,1000,100,Round_Med,0.926,0.9723320158102767,0.8785425101214575,0.9810012641820423,72
simulate50_50_0_8_data.csv,1000,100,CPA,0.864,0.9183266932270916,0.8092369477911646,0.9445751132018112,52
simulate50_50_0_8_data.csv,1000,100,LR,0.972,0.9721115537848606,0.9718875502008032,0.9968159490551849,101
simulate50_50_0_8_data.csv,1000,100,Round,0.936,0.9920318725099602,0.8795180722891566,0.9949999199987201,92
simulate50_50_0_8_data.csv,1000,100,Round_Med,0.897,0.9741035856573705,0.8192771084337349,0.9791696667146674,71
simulate5_5_5_4_data.csv,1000,10,CPA,0.717,0.9008097165991903,0.5375494071146245,0.8408650845721783,7
simulate5_5_5_4_data.csv,1000,10,LR,0.754,0.7388663967611336,0.7687747035573123,0.8498843833512026,11
simulate5_5_5_4_data.csv,1000,10,Round,0.701,0.4230769230769231,0.9723320158102767,0.8416231937398986,6
simulate5_5_5_4_data.csv,1000,10,Round_Med,0.748,0.6518218623481782,0.841897233201581,0.8408570834200124,7
simulate5_5_5_5_data.csv,1000,10,CPA,0.78,0.8260869565217391,0.7327935222672065,0.8643624681954202,9
simulate5_5_5_5_data.csv,1000,10,LR,0.779,0.7964426877470355,0.7611336032388664,0.8701513017874574,11
simulate5_5_5_5_data.csv,1000,10,Round,0.766,0.6086956521739131,0.9271255060728745,0.8627202317133668,9
simulate5_5_5_5_data.csv,1000,10,Round_Med,0.779,0.8162055335968379,0.7408906882591093,0.8627202317133668,9
simulate0_10_3_9_data.csv,1000,10,CPA,0.851,0.890020366598778,0.8133595284872298,0.9408608389118074,11
simulate0_10_3_9_data.csv,1000,10,LR,0.859,0.8635437881873728,0.8546168958742633,0.9428774923075076,11
simulate0_10_3_9_data.csv,1000,10,Round,0.851,0.890020366598778,0.8133595284872298,0.9408608389118074,11
simulate0_10_3_9_data.csv,1000,10,Round_Med,0.71,0.4175152749490835,0.9921414538310412,0.9018181890932663,9
simulate0_10_3_8_data.csv,1000,10,CPA,0.853,0.9490196078431372,0.753061224489796,0.95046818727491,11
simulate0_10_3_8_data.csv,1000,10,LR,0.868,0.8607843137254902,0.8755102040816326,0.9542737094837935,11
simulate0_10_3_8_data.csv,1000,10,Round,0.852,0.9529411764705882,0.746938775510204,0.9508303321328531,11
simulate0_10_3_8_data.csv,1000,10,Round_Med,0.835,0.696078431372549,0.9795918367346939,0.9395298119247699,10
simulate5_5_10_5_data.csv,1000,10,CPA,0.72,0.8389662027833003,0.5995975855130785,0.813539287414347,9
simulate5_5_10_5_data.csv,1000,10,LR,0.74,0.7276341948310139,0.7525150905432596,0.8261077398786355,11
simulate5_5_10_5_data.csv,1000,10,Round,0.73,0.7475149105367793,0.7122736418511066,0.8071450572220599,8
simulate5_5_10_5_data.csv,1000,10,Round_Med,0.702,0.8966202783300199,0.5050301810865191,0.821437571752583,10
simulate5_5_10_4_data.csv,1000,10,CPA,0.731,0.8227091633466136,0.6385542168674698,0.7807284916558664,7
simulate5_5_10_4_data.csv,1000,10,LR,0.727,0.7689243027888446,0.6847389558232931,0.7881886110177763,11
simulate5_5_10_4_data.csv,1000,10,Round,0.733,0.8147410358565738,0.6506024096385542,0.7816505064081026,8
simulate5_5_10_4_data.csv,1000,10,Round_Med,0.727,0.7689243027888446,0.6847389558232931,0.7829205267284276,8
simulate50_50_0_3_data.csv,1000,100,CPA,0.888,0.9452332657200812,0.8323471400394478,0.9638589163476041,55
simulate50_50_0_3_data.csv,1000,100,LR,1.0,1.0,1.0,1.0,101
simulate50_50_0_3_data.csv,1000,100,Round,1.0,1.0,1.0,1.0,101
simulate50_50_0_3_data.csv,1000,100,Round_Med,0.925,0.8884381338742393,0.960552268244576,0.9244952010594076,74
simulate50_50_0_2_data.csv,1000,100,CPA,0.893,0.9375,0.8492063492063492,0.9669918874807988,51
simulate50_50_0_2_data.csv,1000,100,LR,1.0,1.0,1.0,1.0,101
simulate50_50_0_2_data.csv,1000,100,Round,1.0,1.0,1.0,0.9999999999999999,101
simulate50_50_0_2_data.csv,1000,100,Round_Med,0.88,0.9919354838709677,0.7698412698412699,0.8823264688940092,71
simulate10_0_0_2_data.csv,1000,10,CPA,0.607,0.905587668593449,0.28482328482328484,0.6830823709436427,8
simulate10_0_0_2_data.csv,1000,10,LR,0.649,0.653179190751445,0.6444906444906445,0.7020557685297569,11
simulate10_0_0_2_data.csv,1000,10,Round,0.639,0.6184971098265896,0.6611226611226612,0.6795552778211738,7
simulate10_0_0_2_data.csv,1000,10,Round_Med,0.645,0.6069364161849711,0.6860706860706861,0.6891010619334318,9
simulate10_0_0_3_data.csv,1000,10,CPA,0.627,0.8312236286919831,0.4429657794676806,0.6959658917713497,5
simulate10_0_0_3_data.csv,1000,10,LR,0.656,0.6223628691983122,0.6863117870722434,0.7202274951468772,11
simulate10_0_0_3_data.csv,1000,10,Round,0.627,0.8312236286919831,0.4429657794676806,0.6959658917713497,5
simulate10_0_0_3_data.csv,1000,10,Round_Med,0.655,0.6455696202531646,0.6634980988593155,0.71665784280695,9
simulate0_10_5_7_data.csv,1000,10,CPA,0.81,0.8720472440944882,0.7459349593495935,0.8946950419307342,11
simulate0_10_5_7_data.csv,1000,10,LR,0.822,0.8484251968503937,0.7947154471544715,0.9013427437423981,11
simulate0_10_5_7_data.csv,1000,10,Round,0.81,0.8759842519685039,0.741869918699187,0.8944769861084437,11
simulate0_10_5_7_data.csv,1000,10,Round_Med,0.756,0.9645669291338582,0.540650406504065,0.8672160072978683,11
simulate0_10_5_6_data.csv,1000,10,CPA,0.795,0.8877551020408163,0.7058823529411765,0.8973089235694277,11
simulate0_10_5_6_data.csv,1000,10,LR,0.813,0.810204081632653,0.8156862745098039,0.9032332933173269,11
simulate0_10_5_6_data.csv,1000,10,Round,0.803,0.8959183673469387,0.7137254901960784,0.899251700680272,11
simulate0_10_5_6_data.csv,1000,10,Round_Med,0.787,0.6775510204081633,0.8921568627450981,0.8453021208483394,9
simulate10_10_5_3_data.csv,1000,20,CPA,0.797,0.9161904761904762,0.6652631578947369,0.8839538847117795,15
