data,n,p,method,acc,sens,spec,auc,non-zeros
simulate10_10_5_9_data.csv,1000,20,CD_Med,0.609,0.5631469979296067,0.6518375241779497,0.6612323846366399,21
simulate5_5_3_1_data.csv,1000,10,CD_Med,0.541,0.6003937007874016,0.4796747967479675,0.5733827859932142,11
simulate10_10_5_8_data.csv,1000,20,CD_Med,0.627,0.6587301587301587,0.594758064516129,0.6930723566308243,21
simulate10_0_0_8_data.csv,1000,10,CD_Med,0.619,0.6699604743083004,0.5668016194331984,0.650515674257093,11
simulate10_0_0_9_data.csv,1000,10,CD_Med,0.555,0.6524271844660194,0.4515463917525773,0.6086377739965969,11
simulate10_0_0_10_data.csv,1000,10,CD_Med,0.541,0.5376782077393075,0.5442043222003929,0.6267930809582305,11
simulate10_0_10_1_data.csv,1000,10,CD_Med,0.601,0.6536964980544747,0.5452674897119342,0.6306864581832157,11
simulate50_50_0_9_data.csv,1000,100,CD_Med,0.625,0.6264822134387352,0.6234817813765182,0.6848206141684403,101
simulate50_50_0_8_data.csv,1000,100,CD_Med,0.59,0.5936254980079682,0.5863453815261044,0.635824173186771,101
simulate5_5_5_4_data.csv,1000,10,CD_Med,0.56,0.548582995951417,0.5711462450592886,0.6075094813653166,11
simulate5_5_5_5_data.csv,1000,10,CD_Med,0.57,0.6047430830039525,0.5344129554655871,0.6472712070538158,11
simulate0_10_3_9_data.csv,1000,10,CD_Med,0.721,0.7189409368635438,0.7229862475442044,0.7772178185732178,11
simulate0_10_3_8_data.csv,1000,10,CD_Med,0.645,0.6980392156862745,0.5897959183673469,0.7299419767907163,11
simulate5_5_10_5_data.csv,1000,10,CD_Med,0.597,0.6083499005964215,0.5855130784708249,0.6434051625858532,11
simulate5_5_10_4_data.csv,1000,10,CD_Med,0.56,0.5557768924302788,0.5642570281124498,0.601773628378054,11
simulate50_50_0_3_data.csv,1000,100,CD_Med,0.641,0.6308316430020284,0.650887573964497,0.7072006113198187,101
simulate50_50_0_2_data.csv,1000,100,CD_Med,0.652,0.6471774193548387,0.6567460317460317,0.7204621095750128,101
simulate10_0_0_2_data.csv,1000,10,CD_Med,0.58,0.7456647398843931,0.40124740124740127,0.5803540312210832,11
simulate10_0_0_3_data.csv,1000,10,CD_Med,0.6,0.5253164556962026,0.6673003802281369,0.6471759638061317,11
simulate0_10_5_7_data.csv,1000,10,CD_Med,0.79,0.7244094488188977,0.8577235772357723,0.8571434287177517,11
simulate0_10_5_6_data.csv,1000,10,CD_Med,0.618,0.5714285714285714,0.6627450980392157,0.7263785514205682,11
simulate10_10_5_3_data.csv,1000,20,CD_Med,0.629,0.7066666666666667,0.5431578947368421,0.6608581453634085,21
simulate10_10_5_2_data.csv,1000,20,CD_Med,0.615,0.6653543307086615,0.5630081300813008,0.6482699571090198,21
simulate0_10_3_3_data.csv,1000,10,CD_Med,0.586,0.5953757225433526,0.5758835758835759,0.6829642003052409,11
simulate0_10_3_2_data.csv,1000,10,CD_Med,0.753,0.8443983402489627,0.667953667953668,0.865407568208398,11
simulate10_10_3_7_data.csv,1000,20,CD_Med,0.574,0.6011787819253438,0.5458248472505092,0.6137968701859402,21
simulate10_10_3_6_data.csv,1000,20,CD_Med,0.609,0.567287784679089,0.6479690522243714,0.6409409277124357,21
simulate10_10_0_3_data.csv,1000,20,CD_Med,0.591,0.5897959183673469,0.592156862745098,0.6422889155662265,21
simulate10_10_0_2_data.csv,1000,20,CD_Med,0.585,0.5984405458089669,0.5708418891170431,0.6299338352726442,21
simulate0_10_0_7_data.csv,1000,10,CD_Med,0.737,0.8,0.6752475247524753,0.7993059305930593,11
simulate0_10_0_6_data.csv,1000,10,CD_Med,0.743,0.8,0.6893203883495146,0.860906816134521,11
simulate10_0_5_2_data.csv,1000,10,CD_Med,0.545,0.5070993914807302,0.5818540433925049,0.5922940896415697,11
simulate10_0_5_3_data.csv,1000,10,CD_Med,0.588,0.4573804573804574,0.7090558766859345,0.6024098798665273,11
simulate0_10_10_10_data.csv,1000,10,CD_Med,0.636,0.6561844863731656,0.6175908221797323,0.7313996416417138,11
simulate50_50_5_3_data.csv,1000,100,CD_Med,0.645,0.6336633663366337,0.6565656565656566,0.7046704670467047,101
simulate50_50_5_2_data.csv,1000,100,CD_Med,0.717,0.6918238993710691,0.739961759082218,0.7991570162463772,101
simulate10_0_3_6_data.csv,1000,10,CD_Med,0.561,0.4607438016528926,0.6550387596899225,0.6028733423025178,11
simulate10_0_3_7_data.csv,1000,10,CD_Med,0.577,0.8595825426944972,0.26215644820295986,0.6014217458107842,11
simulate0_10_3_10_data.csv,1000,10,CD_Med,0.667,0.6369047619047619,0.6975806451612904,0.7436175915258576,11
