"data","n","p","lambda0","non_zeros","med_abs","max_abs","acc","sens","spec","sec"
"simulate0_10_0_1_data.csv",1000,11,0,10,6.5,10,0.875,0.861224489795918,0.888235294117647,27.919291973114
"simulate0_10_0_10_data.csv",1000,11,0,10,5,10,0.873,0.900390625,0.844262295081967,26.3722670078278
"simulate0_10_0_2_data.csv",1000,11,0,10,7,10,0.886,0.864705882352941,0.908163265306122,27.4858810901642
"simulate0_10_0_3_data.csv",1000,11,0,10,8,10,0.882,0.886756238003839,0.876826722338205,27.0230538845062
"simulate0_10_0_4_data.csv",1000,11,0,10,6.5,10,0.866,0.852226720647773,0.879446640316206,26.0591559410095
"simulate0_10_0_5_data.csv",1000,11,0,10,5.5,10,0.887,0.889352818371608,0.884836852207294,27.1952619552612
"simulate0_10_0_6_data.csv",1000,11,0,10,6,10,0.873,0.851546391752577,0.893203883495146,26.0866289138794
"simulate0_10_0_7_data.csv",1000,11,0,10,8.5,10,0.889,0.854545454545454,0.922772277227723,27.7546789646149
"simulate0_10_0_8_data.csv",1000,11,0,10,7,10,0.878,0.836812144212524,0.923890063424947,27.5392119884491
"simulate0_10_0_9_data.csv",1000,11,0,10,2,10,0.892,0.905325443786982,0.878296146044625,28.7502751350403
"simulate0_10_10_1_data.csv",1000,11,0,10,6,10,0.729,0.749027237354086,0.707818930041152,21.9304840564728
"simulate0_10_10_10_data.csv",1000,11,0,10,7,10,0.765,0.729559748427673,0.797323135755258,23.1179311275482
"simulate0_10_10_2_data.csv",1000,11,0,10,6.5,10,0.752,0.756756756756757,0.747591522157996,23.9088549613953
"simulate0_10_10_3_data.csv",1000,11,0,10,6.5,10,0.754,0.794174757281553,0.711340206185567,23.7931959629059
"simulate0_10_10_4_data.csv",1000,11,0,10,5.5,10,0.749,0.728215767634855,0.768339768339768,22.3489019870758
"simulate0_10_10_5_data.csv",1000,11,0,9,7,10,0.725,0.635437881873727,0.81139489194499,21.9937357902527
"simulate0_10_10_6_data.csv",1000,11,0,10,6,10,0.732,0.713097713097713,0.749518304431599,22.0446238517761
"simulate0_10_10_7_data.csv",1000,11,0,10,6,10,0.751,0.714876033057851,0.784883720930233,23.8742039203644
"simulate0_10_10_8_data.csv",1000,11,0,10,4.5,10,0.732,0.73767258382643,0.726166328600406,22.0216801166534
"simulate0_10_10_9_data.csv",1000,11,0,10,8,10,0.727,0.699203187250996,0.755020080321285,22.4085462093353
"simulate0_10_3_1_data.csv",1000,11,0,10,8,10,0.866,0.802845528455285,0.927165354330709,29.4043500423431
"simulate0_10_3_10_data.csv",1000,11,0,10,7,10,0.868,0.890873015873016,0.844758064516129,28.7882528305054
"simulate0_10_3_2_data.csv",1000,11,0,10,7.5,10,0.87,0.877593360995851,0.862934362934363,26.025141954422
