data, n, p, method, acc, sens, spec, auc, lambda0, non-zeros, med_abs, max_abs, time 
simulate10_10_5_9_data.csv,1000,20,CPA,0.792,0.844262295,0.7421875,0.879354508,0,15,1,4,30.37253094
simulate5_5_3_1_data.csv,1000,10,CPA,0.836,0.896,0.776,0.930432,0,7,1,4,1.061050892
simulate10_10_5_8_data.csv,1000,20,CPA,0.82,0.9,0.733333333,0.896987179,0,16,1,3,30.3902719
simulate10_0_0_8_data.csv,1000,10,CPA,0.664,0.798449612,0.520661157,0.727721186,0,7,1,100,0.152989864
simulate10_0_0_9_data.csv,1000,10,CPA,0.7,0.783216783,0.588785047,0.761747598,0,8,1,1,2.862921238
simulate10_0_0_10_data.csv,1000,10,CPA,0.596,0.803418803,0.413533835,0.700212069,0,6,1,1,0.95529604
simulate10_0_10_1_data.csv,1000,10,CPA,0.644,0.816793893,0.453781513,0.701135416,0,6,1,1,0.941926003
simulate50_50_0_9_data.csv,1000,100,CPA,0.844,0.897435897,0.796992481,0.939431913,0,56,1,2,151.5050359
simulate50_50_0_8_data.csv,1000,100,CPA,0.808,0.871212121,0.737288136,0.886813046,0,52,1,4,151.5553589
simulate5_5_5_4_data.csv,1000,10,CPA,0.76,0.861313869,0.637168142,0.832213681,0,6,1,3,0.813239813
simulate5_5_5_5_data.csv,1000,10,CPA,0.756,0.784615385,0.725,0.849198718,0,8,1,3,0.754345894
simulate0_10_3_9_data.csv,1000,10,CPA,0.84,0.873134328,0.801724138,0.941681678,0,10,3,4,0.284136057
simulate0_10_3_8_data.csv,1000,10,CPA,0.876,0.93495935,0.818897638,0.961462134,0,10,3.5,5,1.011713028
simulate5_5_10_5_data.csv,1000,10,CPA,0.704,0.837209302,0.561983471,0.781632392,0,7,1,3,0.927355289
simulate5_5_10_4_data.csv,1000,10,CPA,0.688,0.777777778,0.582608696,0.725764895,0,7,1,100,0.411928892
simulate50_50_0_3_data.csv,1000,100,CPA,0.808,0.886178862,0.732283465,0.902086934,0,49,0,20,151.3632472
simulate50_50_0_2_data.csv,1000,100,CPA,0.832,0.84496124,0.818181818,0.918156192,0,50,0.5,2,151.4707069
simulate10_0_0_2_data.csv,1000,10,CPA,0.62,0.903703704,0.286956522,0.660644122,0,7,1,1,2.565806866
simulate10_0_0_3_data.csv,1000,10,CPA,0.612,0.808695652,0.444444444,0.678164251,0,4,0,1,1.021243095
simulate0_10_5_7_data.csv,1000,10,CPA,0.828,0.87804878,0.779527559,0.899814352,0,10,2,3,0.939857721
simulate0_10_5_6_data.csv,1000,10,CPA,0.78,0.886363636,0.661016949,0.902060863,0,10,2,3,0.930444956
simulate10_10_5_3_data.csv,1000,20,CPA,0.736,0.876033058,0.604651163,0.864116856,0,14,1,3,30.3174479
simulate10_10_5_2_data.csv,1000,20,CPA,0.764,0.838461538,0.683333333,0.850897436,0,14,1,3,30.40195084
simulate0_10_3_3_data.csv,1000,10,CPA,0.856,0.926470588,0.771929825,0.936435759,0,10,3,4,0.885771036
simulate0_10_3_2_data.csv,1000,10,CPA,0.856,0.888888889,0.827067669,0.928153718,0,10,3.5,5,0.452828884
