data, n, p, method, acc, sens, spec, auc, lambda0, non-zeros, med_abs, max_abs, time 
simulate10_10_5_9_data.csv,1000,20,FR,0.512,0,1,0.244268699,0,20,10.17823653,11.35264844,5.632814169
simulate5_5_3_1_data.csv,1000,10,FR,0.5,0,1,0.390368,0,10,4.862033417,5.746039493,0.814757824
simulate10_10_5_8_data.csv,1000,20,FR,0.48,0,1,0.207660256,0,20,11.08007809,12.42311785,5.643254995
simulate10_0_0_8_data.csv,1000,10,FR,0.484,0,1,0.26869114,0,10,1.84435837,2.603800052,1.438148022
simulate10_0_0_9_data.csv,1000,10,FR,0.428,0,1,0.277008039,0,10,2.183935295,3.359900454,0.702713251
simulate10_0_0_10_data.csv,1000,10,FR,0.532,0,1,0.31909903,0,10,1.506603115,1.903077619,0.665838718
simulate10_0_10_1_data.csv,1000,10,FR,0.476,0,1,0.329527231,0,10,2.411489345,2.596988525,0.70066905
simulate50_50_0_9_data.csv,1000,100,FR,0.532,0,1,0.5,0,100,161,168,605.8122611
simulate50_50_0_8_data.csv,1000,100,FR,0.472,0,1,0.5,0,100,174.5945946,184.8648649,594.046443
simulate5_5_5_4_data.csv,1000,10,FR,0.452,0,1,0.317453653,0,10,4.780581048,5.551642507,0.765708208
simulate5_5_5_5_data.csv,1000,10,FR,0.48,0,1,0.277788462,0,10,5.979913911,6.944416154,0.785885811
simulate0_10_3_9_data.csv,1000,10,FR,0.464,0,1,0.129825013,0,10,9.764414611,11.46257367,0.948920012
simulate0_10_3_8_data.csv,1000,10,FR,0.508,0,1,0.08968696,0,10,13.63240809,15.78489358,1.03469491
simulate5_5_10_5_data.csv,1000,10,FR,0.484,0,1,0.288871805,0,10,5.082530543,5.518176018,0.755859852
simulate5_5_10_4_data.csv,1000,10,FR,0.46,0,1,0.456908213,0,10,4.749795469,5.699754563,1.49506402
simulate50_50_0_3_data.csv,1000,100,FR,0.508,0,1,0.5,0,100,162,172,597.8946509
simulate50_50_0_2_data.csv,1000,100,FR,0.484,0,1,0.5,0,100,180,186,607.307925
simulate10_0_0_2_data.csv,1000,10,FR,0.46,0,1,0.398389694,0,10,2.668280166,3.270795043,0.565276861
simulate10_0_0_3_data.csv,1000,10,FR,0.54,0,1,0.422544283,0,10,1.573482508,2.272808066,0.599131107
