data, n, p, method, acc, sens, spec, auc, lambda0, non-zeros, med_abs, max_abs, time 
simulate10_10_5_9_data.csv,1000,20,FR,0.78,0.8114754098360656,0.75,0.8817879098360655,0,17,0.7829412714073328,3.523235721332998,2.859071969985962
simulate10_10_5_9_data.csv,1000,20,LR,0.796,0.7950819672131147,0.796875,0.8821721311475409,0,20,0.897415331827276,3.5139623596089535,0.023216724395751953
simulate10_10_5_9_data.csv,1000,20,Round,0.748,0.8770491803278688,0.625,0.8773053278688524,0,15,1.0,4.0,0.023230552673339844
simulate10_10_5_9_data.csv,1000,20,NLLCD,0.792,0.7786885245901639,0.8046875,0.8598872950819673,0,17,2.0,9.0,0.27208542823791504
simulate5_5_3_1_data.csv,1000,10,FR,0.86,0.856,0.864,0.932288,0,8,0.4420030379420293,3.9780273414782634,0.43770503997802734
simulate5_5_3_1_data.csv,1000,10,LR,0.86,0.856,0.864,0.9344640000000001,0,10,0.6392134656702412,4.002085421713595,0.0013859272003173828
simulate5_5_3_1_data.csv,1000,10,Round,0.852,0.856,0.848,0.9291520000000001,0,7,1.0,4.0,0.0013899803161621094
simulate5_5_3_1_data.csv,1000,10,NLLCD,0.86,0.856,0.864,0.929888,0,7,1.5,10.0,0.055542945861816406
simulate10_10_5_8_data.csv,1000,20,FR,0.832,0.8384615384615385,0.825,0.9146794871794872,0,20,0.671519883945312,3.021839477753904,3.095607042312622
simulate10_10_5_8_data.csv,1000,20,LR,0.852,0.8307692307692308,0.875,0.9171794871794872,0,20,0.709413717881388,3.114244270810373,0.0020749568939208984
simulate10_10_5_8_data.csv,1000,20,Round,0.82,0.9,0.7333333333333333,0.8969871794871795,0,16,1.0,3.0,0.0020797252655029297
simulate10_10_5_8_data.csv,1000,20,NLLCD,0.812,0.7846153846153846,0.8416666666666667,0.8991346153846155,0,19,2.0,9.0,0.2000260353088379
simulate10_0_0_8_data.csv,1000,10,FR,0.672,0.7906976744186046,0.5454545454545454,0.734544173233391,0,8,0.759441681737433,1.084916688196333,0.724205732345581
simulate10_0_0_8_data.csv,1000,10,LR,0.656,0.6976744186046512,0.6115702479338843,0.7335511563841374,0,10,0.8741715131865143,12.900308344905785,0.0020952224731445312
simulate10_0_0_8_data.csv,1000,10,Round,0.664,0.7984496124031008,0.5206611570247934,0.7277211864949709,0,7,1.0,13.0,0.002100229263305664
simulate10_0_0_8_data.csv,1000,10,NLLCD,0.664,0.7984496124031008,0.5206611570247934,0.7277211864949709,0,7,1.0,10.0,0.026781082153320312
simulate10_0_0_9_data.csv,1000,10,FR,0.724,0.6993006993006993,0.7570093457943925,0.7738056336187178,0,10,0.6719800908885855,1.1759651590550246,0.2764158248901367
simulate10_0_0_9_data.csv,1000,10,LR,0.732,0.6993006993006993,0.7757009345794392,0.7778576563623293,0,10,0.6513185286854011,1.2138154355558586,0.0015249252319335938
simulate10_0_0_9_data.csv,1000,10,Round,0.68,0.8951048951048951,0.3925233644859813,0.7635448663486046,0,8,1.0,1.0,0.0015299320220947266
simulate10_0_0_9_data.csv,1000,10,NLLCD,0.736,0.6993006993006993,0.7850467289719626,0.7762564538265473,0,7,3.5,10.0,0.05521988868713379
simulate10_0_0_10_data.csv,1000,10,FR,0.66,0.6752136752136753,0.6466165413533834,0.7234432234432233,0,10,0.7136541071925748,1.4273082143851497,0.28130006790161133
