"data","n","p","lambda0","non_zeros","med_abs","max_abs","acc","sens","spec","sec"
"simulate0_10_0_1_data.csv",1000,11,0,10,6.5,10,0.875,0.861224489795918,0.888235294117647,0.0735371112823486
"simulate0_10_0_10_data.csv",1000,11,0,10,5,10,0.873,0.900390625,0.844262295081967,0.0480859279632568
"simulate0_10_0_2_data.csv",1000,11,0,10,7,10,0.886,0.864705882352941,0.908163265306122,0.058366060256958
"simulate0_10_0_3_data.csv",1000,11,0,10,8,10,0.882,0.886756238003839,0.876826722338205,0.0447468757629395
"simulate0_10_0_4_data.csv",1000,11,0,10,6.5,10,0.866,0.852226720647773,0.879446640316206,0.0972089767456055
"simulate0_10_0_5_data.csv",1000,11,0,10,5.5,10,0.887,0.889352818371608,0.884836852207294,0.0427019596099854
"simulate0_10_0_6_data.csv",1000,11,0,10,6.5,10,0.872,0.841237113402062,0.900970873786408,0.0404739379882812
"simulate0_10_0_7_data.csv",1000,11,0,10,9,10,0.889,0.854545454545454,0.922772277227723,0.0842709541320801
"simulate0_10_0_8_data.csv",1000,11,0,10,7,10,0.878,0.86527514231499,0.892177589852008,0.0427258014678955
"simulate0_10_0_9_data.csv",1000,11,0,10,2,10,0.892,0.905325443786982,0.878296146044625,0.0454888343811035
"simulate0_10_10_1_data.csv",1000,11,0,10,6,10,0.729,0.749027237354086,0.707818930041152,0.0503659248352051
"simulate0_10_10_10_data.csv",1000,11,0,10,7,10,0.765,0.729559748427673,0.797323135755258,0.0351650714874268
"simulate0_10_10_2_data.csv",1000,11,0,10,6.5,10,0.752,0.756756756756757,0.747591522157996,0.0757739543914795
"simulate0_10_10_3_data.csv",1000,11,0,10,6.5,10,0.754,0.794174757281553,0.711340206185567,0.0540549755096436
"simulate0_10_10_4_data.csv",1000,11,0,10,5.5,10,0.749,0.728215767634855,0.768339768339768,0.0345950126647949
"simulate0_10_10_5_data.csv",1000,11,0,10,7,10,0.725,0.635437881873727,0.81139489194499,0.0346128940582275
"simulate0_10_10_6_data.csv",1000,11,0,10,6,10,0.732,0.713097713097713,0.749518304431599,0.0726220607757568
"simulate0_10_10_7_data.csv",1000,11,0,10,6,10,0.751,0.714876033057851,0.784883720930233,0.0698230266571045
"simulate0_10_10_8_data.csv",1000,11,0,10,4.5,10,0.732,0.73767258382643,0.726166328600406,0.0584368705749512
"simulate0_10_10_9_data.csv",1000,11,0,10,8,10,0.727,0.699203187250996,0.755020080321285,0.0493888854980469
"simulate0_10_3_1_data.csv",1000,11,0,10,8,10,0.866,0.802845528455285,0.927165354330709,0.0634350776672363
"simulate0_10_3_10_data.csv",1000,11,0,10,7,10,0.868,0.890873015873016,0.844758064516129,0.0576310157775879
"simulate0_10_3_2_data.csv",1000,11,0,10,7.5,10,0.87,0.877593360995851,0.862934362934363,0.0584089756011963
"simulate0_10_3_3_data.csv",1000,11,0,10,6.5,10,0.868,0.890173410404624,0.844074844074844,0.0791652202606201
"simulate0_10_3_4_data.csv",1000,11,0,9,1,10,0.806,0.825301204819277,0.786852589641434,0.0412850379943848
"simulate0_10_3_5_data.csv",1000,11,0,10,6,10,0.861,0.862985685071575,0.859099804305284,0.04121994972229
"simulate0_10_3_6_data.csv",1000,11,0,10,6,10,0.858,0.875510204081633,0.841176470588235,0.0406570434570312
"simulate0_10_3_7_data.csv",1000,11,0,10,7,10,0.857,0.842629482071713,0.8714859437751,0.0796542167663574
"simulate0_10_3_8_data.csv",1000,11,0,10,8.5,10,0.867,0.823529411764706,0.912244897959184,0.0420811176300049
"simulate0_10_3_9_data.csv",1000,11,0,10,8,10,0.859,0.867617107942974,0.850687622789784,0.0572199821472168
"simulate0_10_5_1_data.csv",1000,11,0,9,4,10,0.799,0.790836653386454,0.807228915662651,0.0364258289337158
"simulate0_10_5_10_data.csv",1000,11,0,10,6.5,10,0.796,0.779092702169625,0.813387423935091,0.0373039245605469
"simulate0_10_5_2_data.csv",1000,11,0,10,5,10,0.799,0.850980392156863,0.744897959183674,0.058042049407959
"simulate0_10_5_3_data.csv",1000,11,0,9,7,10,0.847,0.844054580896686,0.850102669404518,0.0403738021850586
"simulate0_10_5_4_data.csv",1000,11,0,10,5,10,0.8,0.793168880455408,0.807610993657505,0.0533461570739746
"simulate0_10_5_5_data.csv",1000,11,0,10,5,10,0.805,0.84156378600823,0.770428015564202,0.0408449172973633
"simulate0_10_5_6_data.csv",1000,11,0,10,7.5,10,0.813,0.810204081632653,0.815686274509804,0.077239990234375
"simulate0_10_5_7_data.csv",1000,11,0,10,6,10,0.813,0.868110236220472,0.75609756097561,0.0540080070495605
"simulate0_10_5_8_data.csv",1000,11,0,10,7,10,0.791,0.802547770700637,0.780718336483932,0.052577018737793
"simulate0_10_5_9_data.csv",1000,11,0,10,7,10,0.829,0.765060240963855,0.892430278884462,0.0403399467468262
"simulate10_0_0_1_data.csv",1000,11,0,10,5,10,0.645,0.577083333333333,0.707692307692308,0.0843570232391357
"simulate10_0_0_10_data.csv",1000,11,0,10,4.5,10,0.704,0.639511201629328,0.766208251473477,0.0332400798797607
"simulate10_0_0_2_data.csv",1000,11,0,10,6.5,10,0.65,0.653179190751445,0.646569646569647,0.0797441005706787
"simulate10_0_0_3_data.csv",1000,11,0,10,3,10,0.661,0.60126582278481,0.714828897338403,0.0691778659820557
"simulate10_0_0_4_data.csv",1000,11,0,9,3.5,10,0.613,0.675298804780876,0.550200803212851,0.0487451553344727
